onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	13	1
32	8	1	glass_moderate_007_new	3	207	0.0	13	1
40	8	2	glass_moderate_007_new	3	207	42.14363682002295	13	1
48	8	1	wood_moderate_041_new	10	941	0.0	13	1
56	8	2	wood_moderate_041_new	10	941	58.03772541100625	13	1
64	8	1	plastic_moderate_046_new	7	646	0.0	13	1
72	8	1	metal_object_024_new	5	474	0.0	13	1
80	8	1	glass_object_042_new	3	292	0.0	13	1
88	8	1	paper_object_031_new	6	581	0.0	13	1
96	8	1	foliage_final_075_new	2	175	0.0	13	1
104	8	1	fabric_object_017_new	1	67	0.0	13	1
112	8	1	metal_moderate_039_new	5	439	0.0	13	1
120	8	1	glass_object_014_new	3	264	0.0	13	1
128	8	1	stone_object_030_new	8	780	0.0	13	1
136	8	1	water_object_017_new	9	867	0.0	13	1
144	8	1	wood_moderate_040_new	10	940	0.0	13	1
152	8	1	foliage_final_079_new	2	179	0.0	13	1
160	8	1	glass_object_047_new	3	297	0.0	13	1
168	8	1	metal_object_035_new	5	485	0.0	13	1
176	8	1	water_object_025_new	9	875	0.0	13	1
184	8	1	paper_object_013_new	6	563	0.0	13	1
192	8	1	leather_object_007_new	4	357	0.0	13	1
200	8	1	stone_moderate_049_new	8	749	0.0	13	1
208	8	1	water_moderate_015_new	9	815	0.0	13	1
216	8	1	plastic_object_043_new	7	693	0.0	13	1
224	8	1	wood_object_043_new	10	993	0.0	13	1
232	8	1	plastic_moderate_037_new	7	637	0.0	13	1
240	8	1	metal_moderate_028_new	5	428	0.0	13	1
248	8	1	foliage_final_032_new	2	132	0.0	13	1
256	8	1	stone_moderate_032_new	8	732	0.0	13	1
264	8	1	fabric_moderate_019_new	1	19	0.0	13	1
272	8	1	plastic_object_006_new	7	656	0.0	13	1
280	8	1	leather_moderate_023_new	4	323	0.0	13	1
288	8	2	leather_moderate_023_new	4	323	289.0245644610259	13	1
296	8	1	water_object_044_new	9	894	0.0	13	1
304	8	1	water_moderate_006_new	9	806	0.0	13	1
312	8	1	fabric_moderate_026_new	1	26	0.0	13	1
320	8	1	leather_object_022_new	4	372	0.0	13	1
328	8	1	paper_moderate_024_new	6	524	0.0	13	1
336	8	1	leather_object_047_new	4	397	0.0	13	1
344	8	1	metal_object_017_new	5	467	0.0	13	1
352	8	1	stone_object_043_new	8	793	0.0	13	1
360	8	2	stone_object_043_new	8	793	361.0713179950253	13	1
368	8	1	foliage_final_081_new	2	181	0.0	13	1
376	8	1	wood_object_002_new	10	952	0.0	13	1
384	8	1	paper_object_006_new	6	556	0.0	13	1
392	8	1	wood_moderate_003_new	10	903	0.0	13	1
400	8	1	paper_moderate_038_new	6	538	0.0	13	1
408	8	1	stone_moderate_029_new	8	729	0.0	13	1
416	8	1	fabric_object_021_new	1	71	0.0	13	1
424	8	1	leather_object_038_new	4	388	0.0	13	1
432	8	1	fabric_moderate_024_new	1	24	0.0	13	1
440	8	1	plastic_object_007_new	7	657	0.0	13	1
448	8	2	plastic_object_007_new	7	657	449.02669755002717	13	1
456	8	1	glass_moderate_005_new	3	205	0.0	13	1
464	8	1	foliage_final_052_new	2	152	0.0	13	1
472	6	-2	n/a	n/a	n/a	0.0	13	1
