onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	19	2
32	8	1	n07734744_8048	144	1151	0.0	19	2
40	8	1	n11978233_25018	147	1172	0.0	19	2
48	8	1	n04398044_18539	128	1022	0.0	19	2
56	8	1	n03721384_36929	91	726	0.0	19	2
64	8	1	n03982430_6951	104	831	0.0	19	2
72	8	1	n12596148_6386	149	1189	0.0	19	2
80	8	1	n02841315_12821	48	378	0.0	19	2
88	8	1	n04412416_6897	132	1054	0.0	19	2
96	8	1	n03924679_3671	102	812	0.0	19	2
104	8	1	n02084071_21054	22	171	0.0	19	2
112	8	1	n04254680_1247	119	948	0.0	19	2
120	8	1	n02432983_23132	32	253	0.0	19	2
128	8	2	n02432983_23132	32	253	130.04636252699947	19	2
136	8	1	n03602883_15696	82	653	0.0	19	2
144	8	1	n03063599_3234	56	442	0.0	19	2
152	8	1	n01639765_40261	2	12	0.0	19	2
160	8	1	n02508213_3777	39	310	0.0	19	2
168	8	1	n02885462_17169	51	403	0.0	19	2
176	8	1	n02391049_10452	31	241	0.0	19	2
184	8	1	n04320973_9400	125	1000	0.0	19	2
192	8	1	n04284002_15310	123	981	0.0	19	2
200	8	1	n04090263_10441	109	865	0.0	19	2
208	8	1	n03607659_3955	83	659	215.477874272	19	2
216	8	1	n04373894_22727	126	1002	0.0	19	2
224	8	1	n04225987_12703	117	929	0.0	19	2
232	8	2	n04225987_12703	117	929	235.04492201099947	19	2
240	8	1	n02814860_39856	47	376	0.0	19	2
248	8	1	n04272054_48893	121	965	0.0	19	2
256	8	1	n02882647_169	50	394	0.0	19	2
264	8	1	n01645776_8522	3	19	0.0	19	2
272	8	1	n03345487_4927	65	517	0.0	19	2
280	8	1	n01787835_11338	11	83	0.0	19	2
288	8	1	n03400231_5694	69	551	0.0	19	2
296	8	1	n03483823_7612	75	598	0.0	19	2
304	8	1	n01704323_5092	5	36	0.0	19	2
312	8	2	n01704323_5092	5	36	314.18773818999944	19	2
320	8	1	n04612026_5059	142	1132	0.0	19	2
328	8	1	n02445715_12246	34	266	0.0	19	2
336	8	1	n03187595_91	60	479	0.0	19	2
344	8	1	n04086273_28013	108	861	0.0	19	2
352	8	1	n02005790_9371	18	144	0.0	19	2
360	8	2	n02005790_9371	18	144	362.07322511299935	19	2
368	8	1	n04123740_10780	111	881	0.0	19	2
376	8	1	n02090827_13480	23	179	0.0	19	2
384	8	1	n02800213_21205	44	349	0.0	19	2
392	8	2	n02800213_21205	44	349	395.04357349199927	19	2
400	8	1	n02439033_9911	33	264	0.0	19	2
408	8	1	n04591713_3315	141	1123	0.0	19	2
416	8	1	n01963571_19866	16	125	0.0	19	2
424	8	1	n01855672_15900	13	104	0.0	19	2
432	8	1	n03261776_13358	63	497	0.0	19	2
440	8	1	n03543603_4306	80	635	0.0	19	2
448	8	1	n03425413_18382	70	555	0.0	19	2
456	8	1	n03837869_5198	99	787	0.0	19	2
464	8	1	n03436182_9434	71	568	0.0	19	2
472	6	-2	n/a	n/a	n/a	0.0	19	2
