onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	4	1
32	8	1	foliage_final_049_new	2	149	0.0	4	1
40	8	1	wood_moderate_025_new	10	925	0.0	4	1
48	8	1	leather_moderate_007_new	4	307	0.0	4	1
56	8	1	fabric_moderate_026_new	1	26	0.0	4	1
64	8	1	plastic_moderate_023_new	7	623	0.0	4	1
72	8	1	wood_object_020_new	10	970	0.0	4	1
80	8	2	wood_object_020_new	10	970	84.04437059297925	4	1
88	8	1	paper_moderate_030_new	6	530	0.0	4	1
96	8	1	leather_object_034_new	4	384	0.0	4	1
104	8	1	glass_moderate_026_new	3	226	0.0	4	1
112	8	1	metal_object_037_new	5	487	0.0	4	1
120	8	1	stone_object_024_new	8	774	0.0	4	1
128	8	1	fabric_object_016_new	1	66	0.0	4	1
136	8	1	metal_object_020_new	5	470	0.0	4	1
144	8	1	water_moderate_028_new	9	828	0.0	4	1
152	8	1	paper_moderate_042_new	6	542	0.0	4	1
160	8	1	leather_object_039_new	4	389	0.0	4	1
168	8	1	plastic_object_027_new	7	677	0.0	4	1
176	8	1	glass_moderate_008_new	3	208	0.0	4	1
184	8	2	glass_moderate_008_new	3	208	188.44296329299686	4	1
192	8	1	paper_moderate_003_new	6	503	0.0	4	1
200	8	1	foliage_final_070_new	2	170	0.0	4	1
208	8	1	water_object_013_new	9	863	0.0	4	1
216	8	1	leather_moderate_029_new	4	329	0.0	4	1
224	8	1	paper_object_036_new	6	586	0.0	4	1
232	8	2	paper_object_036_new	6	586	236.04266351397382	4	1
240	8	1	water_object_006_new	9	856	0.0	4	1
248	8	1	fabric_moderate_048_new	1	48	0.0	4	1
256	8	1	plastic_moderate_037_new	7	637	0.0	4	1
264	8	1	foliage_final_030_new	2	130	0.0	4	1
272	8	1	metal_moderate_023_new	5	423	0.0	4	1
280	8	1	metal_moderate_029_new	5	429	0.0	4	1
288	8	1	stone_object_011_new	8	761	0.0	4	1
296	8	1	paper_object_038_new	6	588	0.0	4	1
304	8	1	wood_moderate_048_new	10	948	0.0	4	1
312	8	1	stone_object_004_new	8	754	0.0	4	1
320	8	1	water_object_033_new	9	883	0.0	4	1
328	8	1	stone_object_020_new	8	770	0.0	4	1
336	8	1	fabric_object_039_new	1	89	0.0	4	1
344	8	1	glass_object_016_new	3	266	0.0	4	1
352	8	1	plastic_object_026_new	7	676	0.0	4	1
360	8	1	foliage_final_021_new	2	121	0.0	4	1
368	8	2	foliage_final_021_new	2	121	372.3018744099827	4	1
376	8	1	glass_moderate_028_new	3	228	0.0	4	1
384	8	1	fabric_moderate_039_new	1	39	0.0	4	1
392	8	1	wood_moderate_034_new	10	934	0.0	4	1
400	8	1	metal_moderate_015_new	5	415	0.0	4	1
408	8	1	stone_moderate_024_new	8	724	0.0	4	1
416	8	1	water_object_014_new	9	864	0.0	4	1
424	8	2	water_object_014_new	9	864	0.0	4	1
432	8	1	plastic_object_048_new	7	698	0.0	4	1
440	8	1	wood_object_035_new	10	985	0.0	4	1
448	8	1	foliage_final_062_new	2	162	0.0	4	1
456	8	1	glass_moderate_033_new	3	233	0.0	4	1
464	8	1	leather_moderate_027_new	4	327	0.0	4	1
472	6	-2	n/a	n/a	n/a	0.0	4	1
