onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	1	1
32	8	1	water_moderate_028_new	9	828	0.0	1	1
40	8	1	fabric_moderate_042_new	1	42	0.0	1	1
48	8	1	water_moderate_036_new	9	836	0.0	1	1
56	8	1	leather_object_032_new	4	382	0.0	1	1
64	8	1	wood_object_019_new	10	969	0.0	1	1
72	8	1	leather_object_013_new	4	363	0.0	1	1
80	8	1	wood_object_041_new	10	991	0.0	1	1
88	8	1	foliage_final_002_new	2	102	0.0	1	1
96	8	1	wood_moderate_023_new	10	923	0.0	1	1
104	8	1	leather_moderate_042_new	4	342	0.0	1	1
112	8	1	stone_moderate_019_new	8	719	0.0	1	1
120	8	1	foliage_final_082_new	2	182	0.0	1	1
128	8	1	paper_object_027_new	6	577	0.0	1	1
136	8	1	foliage_final_023_new	2	123	0.0	1	1
144	8	1	glass_object_030_new	3	280	0.0	1	1
152	8	1	metal_moderate_030_new	5	430	0.0	1	1
160	8	1	wood_moderate_020_new	10	920	0.0	1	1
168	8	1	fabric_object_048_new	1	98	0.0	1	1
176	8	1	plastic_object_023_new	7	673	0.0	1	1
184	8	1	paper_moderate_034_new	6	534	0.0	1	1
192	8	2	paper_moderate_034_new	6	534	193.04250584496185	1	1
200	8	1	glass_moderate_037_new	3	237	0.0	1	1
208	8	1	stone_object_004_new	8	754	0.0	1	1
216	8	1	metal_moderate_043_new	5	443	0.0	1	1
224	8	1	fabric_moderate_027_new	1	27	0.0	1	1
232	8	1	metal_object_008_new	5	458	0.0	1	1
240	8	1	foliage_final_035_new	2	135	0.0	1	1
248	8	2	foliage_final_035_new	2	135	249.0414479689789	1	1
256	8	1	plastic_moderate_010_new	7	610	0.0	1	1
264	8	1	glass_moderate_011_new	3	211	0.0	1	1
272	8	1	stone_object_028_new	8	778	0.0	1	1
280	8	1	wood_object_012_new	10	962	0.0	1	1
288	8	2	wood_object_012_new	10	962	289.04557179496624	1	1
296	8	1	fabric_moderate_049_new	1	49	0.0	1	1
304	8	1	paper_moderate_010_new	6	510	0.0	1	1
312	8	2	paper_moderate_010_new	6	510	313.0372937749489	1	1
320	8	1	glass_object_016_new	3	266	0.0	1	1
328	8	1	leather_object_018_new	4	368	0.0	1	1
336	8	1	fabric_moderate_004_new	1	4	0.0	1	1
344	8	1	plastic_moderate_038_new	7	638	0.0	1	1
352	8	1	metal_moderate_033_new	5	433	0.0	1	1
360	8	1	metal_moderate_046_new	5	446	0.0	1	1
368	8	1	paper_moderate_012_new	6	512	0.0	1	1
376	8	1	water_moderate_032_new	9	832	0.0	1	1
384	8	1	paper_object_050_new	6	600	0.0	1	1
392	8	2	paper_object_050_new	6	600	393.0451039769687	1	1
400	8	1	stone_object_037_new	8	787	0.0	1	1
408	8	1	water_moderate_031_new	9	831	0.0	1	1
416	8	1	foliage_final_073_new	2	173	0.0	1	1
424	8	1	glass_moderate_002_new	3	202	0.0	1	1
432	8	1	stone_moderate_018_new	8	718	0.0	1	1
440	8	1	plastic_moderate_020_new	7	620	0.0	1	1
448	8	1	water_object_024_new	9	874	0.0	1	1
456	8	1	leather_object_034_new	4	384	0.0	1	1
464	8	1	plastic_moderate_006_new	7	606	0.0	1	1
472	6	-2	n/a	n/a	n/a	0.0	1	1
