onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	21
32	8	1	n04070727_16664	1	32	0.0	21
40	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	21
48	8	1	n02974003_9408	1	22	0.0	21
56	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	21
64	8	2	abuttingLine017_linespace_6_angle_000_vline	2	55	65.63624231499853	21
72	8	1	n04233124_14971	1	34	0.0	21
80	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	21
88	8	1	n04252077_10859	1	35	0.0	21
96	8	1	fillingin011_large_cross_lumi0p3_sat0p7_disconnected	2	69	0.0	21
104	8	1	n02005790_9371	1	6	0.0	21
112	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	54	0.0	21
120	8	1	n01858441_11077	1	3	0.0	21
128	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	21
136	8	1	n02802215_26105	1	16	0.0	21
144	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	21
152	8	2	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	153.63436356798047	21
160	8	1	n02439033_9911	1	11	0.0	21
168	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	21
176	8	1	n03743279_13788	1	30	0.0	21
184	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	21
192	8	2	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	193.63362727998174	21
200	8	1	n04210120_9062	1	33	0.0	21
208	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	21
216	8	2	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	219.23312966999947	21
224	8	1	n02068974_4884	1	7	0.0	21
232	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	0.0	21
240	8	1	origImg_181	1	38	0.0	21
248	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	51	0.0	21
256	8	1	n03483823_7612	1	28	0.0	21
264	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	21
272	8	1	n02841315_35046	1	17	0.0	21
280	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	21
288	8	1	n02797295_15411	1	14	0.0	21
296	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	21
304	8	1	n02346627_13993	1	8	0.0	21
312	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	41	0.0	21
320	8	1	n01944390_20670	1	5	0.0	21
328	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	21
336	8	1	n03483823_8150	1	29	0.0	21
344	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	21
352	8	1	n02951358_23759	1	21	0.0	21
360	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	361.6302538619784	21
368	6	-2	n/a	n/a	n/a	0.0	21
