onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	7
32	8	1	n02799175_11275	1	13	0.0	7
40	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	64	0.0	7
48	8	1	n03483823_7612	1	23	0.0	7
56	8	1	fillingin011_large_cross_lumi0p3_sat0p7_disconnected	2	63	0.0	7
64	8	1	n03950228_27533	1	25	0.0	7
72	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	55	0.0	7
80	8	1	n02766534_15976	1	11	0.0	7
88	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	33	0.0	7
96	8	2	abuttingLine001_linespace_1p2_angle_000_045diag	2	33	96.78599105100147	7
104	8	1	n02841315_35046	1	15	0.0	7
112	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	42	0.0	7
120	8	1	n04252077_10859	1	29	0.0	7
128	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	43	0.0	7
136	8	1	n02882301_14188	1	16	0.0	7
144	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	46	0.0	7
152	8	1	n04233124_14971	1	28	0.0	7
160	8	2	n04233124_14971	1	28	160.78468855698884	7
168	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	39	0.0	7
176	8	1	n04297750_25624	1	30	0.0	7
184	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	58	0.0	7
192	8	1	n03063599_4177	1	19	0.0	7
200	8	2	n03063599_4177	1	19	201.63410990098782	7
208	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	37	0.0	7
216	8	1	n02797295_15411	1	12	0.0	7
224	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	54	0.0	7
232	8	1	n02439033_9911	1	9	0.0	7
240	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	59	0.0	7
248	8	1	n03455488_28622	1	22	0.0	7
256	8	1	abuttingLine017_linespace_6_angle_000_vline	2	49	0.0	7
264	8	1	n04210120_9062	1	27	0.0	7
272	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	34	0.0	7
280	8	1	n02802215_26105	1	14	0.0	7
288	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	48	0.0	7
296	8	1	n04070727_16664	1	26	0.0	7
304	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	40	0.0	7
312	6	-2	n/a	n/a	n/a	0.0	7
