onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	18
32	8	1	n02799175_11275	1	13	0.0	18
40	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	62	0.0	18
48	8	1	n02766534_15976	1	11	0.0	18
56	8	1	abuttingLine017_linespace_6_angle_000_vline	2	49	0.0	18
64	8	1	n04233124_14971	1	28	0.0	18
72	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	47	0.0	18
80	8	1	origImg_181	1	32	0.0	18
88	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	36	0.0	18
96	8	2	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	36	97.63527662400156	18
104	8	1	n02391049_2286	1	8	0.0	18
112	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	38	0.0	18
120	8	2	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	38	121.63481321001018	18
128	8	1	n03063599_4177	1	19	0.0	18
136	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	50	0.0	18
144	8	1	n02802215_26105	1	14	0.0	18
152	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	56	0.0	18
160	8	1	n03483823_8150	1	24	0.0	18
168	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	34	0.0	18
176	8	1	n01621127_19020	1	1	0.0	18
184	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	55	0.0	18
192	8	1	n04587559_13463	1	31	0.0	18
200	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	46	0.0	18
208	8	1	n03950228_27533	1	25	0.0	18
216	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	60	0.0	18
224	8	1	n02472293_34273	1	10	0.0	18
232	8	2	n02472293_34273	1	10	233.63247856601083	18
240	8	1	abuttingLine019_linespace_6_angle_090_hline	2	51	0.0	18
248	8	1	n02797295_15411	1	12	0.0	18
256	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	45	0.0	18
264	8	1	n01858441_11077	1	3	0.0	18
272	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	39	0.0	18
280	8	1	n03483823_7612	1	23	0.0	18
288	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	64	0.0	18
296	8	1	n04297750_25624	1	30	0.0	18
304	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	33	0.0	18
312	6	-2	n/a	n/a	n/a	0.0	18
