onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	COCO_val2014_000000497514	1	841	0.000000
40	8	1	COCO_val2014_000000182362	1	317	0.000000
48	8	1	COCO_val2014_000000019624	1	31	0.000000
56	8	1	COCO_val2014_000000270381	1	479	0.000000
64	8	1	COCO_val2014_000000020107	1	32	0.000000
72	8	1	COCO_val2014_000000379476	1	657	0.000000
80	8	1	COCO_val2014_000000566729	1	963	0.000000
88	8	1	COCO_val2014_000000427041	1	737	0.000000
96	8	1	COCO_val2014_000000119785	1	207	0.000000
104	8	1	COCO_val2014_000000209539	1	372	0.000000
112	8	1	COCO_val2014_000000276720	1	486	0.000000
120	8	1	COCO_val2014_000000002587	1	7	0.000000
128	8	1	COCO_val2014_000000310082	1	548	0.000000
136	8	1	COCO_val2014_000000089765	1	150	0.000000
144	8	1	COCO_val2014_000000383112	1	664	0.000000
152	8	1	COCO_val2014_000000312591	1	553	0.000000
160	8	1	COCO_val2014_000000208955	1	367	0.000000
168	8	1	COCO_val2014_000000396387	1	680	0.000000
176	8	1	COCO_val2014_000000396820	1	682	0.000000
184	8	1	COCO_val2014_000000511554	1	854	0.000000
192	8	1	COCO_val2014_000000373089	1	642	0.000000
200	8	1	COCO_val2014_000000165884	1	285	0.000000
208	8	1	COCO_val2014_000000383549	1	665	0.000000
216	8	1	COCO_val2014_000000057403	1	103	0.000000
224	8	1	COCO_val2014_000000533900	1	898	0.000000
232	8	1	COCO_val2014_000000389308	1	671	0.000000
240	8	1	COCO_val2014_000000355826	1	618	0.000000
248	8	1	COCO_val2014_000000171443	1	296	0.000000
256	8	1	COCO_val2014_000000016228	1	29	0.000000
264	8	1	COCO_val2014_000000538198	1	910	0.000000
272	8	1	COCO_val2014_000000326592	1	570	0.000000
280	8	1	COCO_val2014_000000521540	1	873	0.000000
288	8	2	COCO_val2014_000000521540	1	873	289.035079
296	8	1	COCO_val2014_000000307547	1	546	0.000000
304	8	1	COCO_val2014_000000163012	1	278	0.000000
312	8	2	COCO_val2014_000000163012	1	278	313.034621
320	8	1	COCO_val2014_000000031667	1	55	0.000000
328	8	1	COCO_val2014_000000518262	1	866	0.000000
336	8	1	COCO_val2014_000000334941	1	588	0.000000
344	8	2	COCO_val2014_000000334941	1	588	0.000000
352	8	1	COCO_val2014_000000448308	1	760	0.000000
360	8	1	COCO_val2014_000000179094	1	312	0.000000
368	8	1	COCO_val2014_000000539089	1	911	0.000000
376	8	1	COCO_val2014_000000485897	1	827	0.000000
384	8	1	COCO_val2014_000000217440	1	385	0.000000
392	8	1	COCO_val2014_000000140987	1	245	0.000000
400	8	1	COCO_val2014_000000293789	1	517	0.000000
408	8	1	COCO_val2014_000000398756	1	683	0.000000
416	8	2	COCO_val2014_000000398756	1	683	417.143672
424	8	1	COCO_val2014_000000557107	1	945	0.000000
432	8	1	COCO_val2014_000000404504	1	698	0.000000
440	8	1	COCO_val2014_000000206831	1	361	0.000000
448	8	2	COCO_val2014_000000206831	1	361	449.032032
456	8	1	COCO_val2014_000000463134	1	786	0.000000
464	8	1	COCO_val2014_000000021036	1	35	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
