onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	40
32	8	1	n04587559_13463	1	37	0.0	40
40	8	2	n04587559_13463	1	37	42.08187414999702	40
48	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	51	0.0	40
56	8	1	n02766534_15976	1	13	0.0	40
64	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	40
72	8	1	n03063599_4177	1	23	0.0	40
80	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	40
88	8	1	n03743279_13788	1	30	0.0	40
96	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	40
104	8	1	n01944390_20670	1	5	0.0	40
112	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	40
120	8	1	n04210120_9062	1	33	0.0	40
128	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	40
136	8	1	n03455488_28622	1	26	0.0	40
144	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	40
152	8	1	origImg_181	1	38	0.0	40
160	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	40
168	8	2	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	170.38167148199864	40
176	8	1	n03335030_10544	1	24	0.0	40
184	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	40
192	8	1	n02799175_11275	1	15	0.0	40
200	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	40
208	8	2	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	209.6311926979979	40
216	8	1	n01943899_24131	1	4	0.0	40
224	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	40
232	8	1	n04252077_10859	1	35	0.0	40
240	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	41	0.0	40
248	8	1	n02802215_26105	1	16	0.0	40
256	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	40
264	8	1	n02068974_4884	1	7	0.0	40
272	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	61	0.0	40
280	8	1	n02374451_17284	1	9	0.0	40
288	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	40
296	8	1	n02841315_35046	1	17	0.0	40
304	8	2	n02841315_35046	1	17	305.633819537994	40
312	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	40
320	8	1	n03483823_8150	1	29	0.0	40
328	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	40
336	8	1	n04070727_16664	1	32	0.0	40
344	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	40
352	8	1	n02843158_4722	1	18	0.0	40
360	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	40
368	6	-2	n/a	n/a	n/a	0.0	40
