onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	COCO_val2014_000000043202	1	77	0.000000
40	8	1	COCO_val2014_000000130966	1	226	0.000000
48	8	1	COCO_val2014_000000075234	1	128	0.000000
56	8	1	COCO_val2014_000000048609	1	90	0.000000
64	8	2	COCO_val2014_000000048609	1	90	65.460242
72	8	1	COCO_val2014_000000145693	1	254	0.000000
80	8	1	COCO_val2014_000000235839	1	420	0.000000
88	8	1	COCO_val2014_000000022085	1	38	0.000000
96	8	1	COCO_val2014_000000516396	1	863	0.000000
104	8	1	COCO_val2014_000000201348	1	355	0.000000
112	8	1	COCO_val2014_000000452218	1	767	0.000000
120	8	2	COCO_val2014_000000452218	1	767	121.027538
128	8	1	COCO_val2014_000000400916	1	691	0.000000
136	8	1	COCO_val2014_000000186991	1	326	0.000000
144	8	1	COCO_val2014_000000216581	1	383	0.000000
152	8	1	COCO_val2014_000000034892	1	61	0.000000
160	8	1	COCO_val2014_000000095161	1	163	0.000000
168	8	1	COCO_val2014_000000282658	1	498	0.000000
176	8	1	COCO_val2014_000000001757	1	4	0.000000
184	8	1	COCO_val2014_000000114055	1	200	0.000000
192	8	1	COCO_val2014_000000173908	1	302	0.000000
200	8	1	COCO_val2014_000000393469	1	677	0.000000
208	8	1	COCO_val2014_000000087483	1	145	0.000000
216	8	1	COCO_val2014_000000396820	1	682	0.000000
224	8	1	COCO_val2014_000000041077	1	69	0.000000
232	8	1	COCO_val2014_000000504733	1	848	0.000000
240	8	1	COCO_val2014_000000068411	1	119	0.000000
248	8	1	COCO_val2014_000000579003	1	995	0.000000
256	8	1	COCO_val2014_000000304812	1	537	0.000000
264	8	1	COCO_val2014_000000473196	1	810	0.000000
272	8	1	COCO_val2014_000000465069	1	795	0.000000
280	8	1	COCO_val2014_000000340899	1	601	0.000000
288	8	1	COCO_val2014_000000448308	1	760	0.000000
296	8	1	COCO_val2014_000000461692	1	783	0.000000
304	8	2	COCO_val2014_000000461692	1	783	305.022153
312	8	1	COCO_val2014_000000312081	1	551	0.000000
320	8	1	COCO_val2014_000000163309	1	280	0.000000
328	8	1	COCO_val2014_000000188109	1	329	0.000000
336	8	1	COCO_val2014_000000170739	1	294	0.000000
344	8	1	COCO_val2014_000000533239	1	897	0.000000
352	8	1	COCO_val2014_000000514468	1	859	0.000000
360	8	1	COCO_val2014_000000536166	1	902	0.000000
368	8	1	COCO_val2014_000000018111	1	30	0.000000
376	8	2	COCO_val2014_000000018111	1	30	377.033875
384	8	1	COCO_val2014_000000094379	1	161	0.000000
392	8	1	COCO_val2014_000000254119	1	440	0.000000
400	8	1	COCO_val2014_000000563723	1	957	0.000000
408	8	1	COCO_val2014_000000569850	1	973	0.000000
416	8	1	COCO_val2014_000000033815	1	57	0.000000
424	8	1	COCO_val2014_000000113052	1	198	0.000000
432	8	1	COCO_val2014_000000381213	1	660	0.000000
440	8	1	COCO_val2014_000000335539	1	589	0.000000
448	8	2	COCO_val2014_000000335539	1	589	449.349754
456	8	1	COCO_val2014_000000054592	1	99	0.000000
464	8	1	COCO_val2014_000000079084	1	132	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
