onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	COCO_val2014_000000168355	1	287	0.000000
40	8	1	COCO_val2014_000000060641	1	108	0.000000
48	8	2	COCO_val2014_000000060641	1	108	50.023538
56	8	1	COCO_val2014_000000125051	1	214	0.000000
64	8	1	COCO_val2014_000000269314	1	474	0.000000
72	8	1	COCO_val2014_000000357586	1	621	0.000000
80	8	1	COCO_val2014_000000318426	1	559	0.000000
88	8	1	COCO_val2014_000000291538	1	510	0.000000
96	8	1	COCO_val2014_000000340573	1	600	0.000000
104	8	2	COCO_val2014_000000340573	1	600	0.000000
112	8	1	COCO_val2014_000000468778	1	800	0.000000
120	8	1	COCO_val2014_000000255747	1	442	0.000000
128	8	1	COCO_val2014_000000482476	1	823	0.000000
136	8	1	COCO_val2014_000000554241	1	937	0.000000
144	8	2	COCO_val2014_000000554241	1	937	145.021718
152	8	1	COCO_val2014_000000267112	1	468	0.000000
160	8	1	COCO_val2014_000000069224	1	120	0.000000
168	8	1	COCO_val2014_000000042837	1	75	0.000000
176	8	1	COCO_val2014_000000358342	1	623	0.000000
184	8	1	COCO_val2014_000000294883	1	521	0.000000
192	8	1	COCO_val2014_000000479832	1	821	0.000000
200	8	1	COCO_val2014_000000337826	1	595	0.000000
208	8	1	COCO_val2014_000000257084	1	447	0.000000
216	8	1	COCO_val2014_000000149974	1	258	0.000000
224	8	1	COCO_val2014_000000525927	1	878	0.000000
232	8	1	COCO_val2014_000000475893	1	812	0.000000
240	8	1	COCO_val2014_000000131597	1	228	0.000000
248	8	1	COCO_val2014_000000186042	1	324	0.000000
256	8	1	COCO_val2014_000000105689	1	182	0.000000
264	8	1	COCO_val2014_000000526401	1	879	0.000000
272	8	1	COCO_val2014_000000572081	1	976	0.000000
280	8	1	COCO_val2014_000000321496	1	564	0.000000
288	8	1	COCO_val2014_000000413811	1	716	0.000000
296	8	1	COCO_val2014_000000373857	1	648	0.000000
304	8	1	COCO_val2014_000000145391	1	252	0.000000
312	8	1	COCO_val2014_000000321861	1	565	0.000000
320	8	1	COCO_val2014_000000295105	1	522	0.000000
328	8	1	COCO_val2014_000000102665	1	177	0.000000
336	8	1	COCO_val2014_000000510449	1	853	0.000000
344	8	2	COCO_val2014_000000510449	1	853	345.109280
352	8	1	COCO_val2014_000000054955	1	100	0.000000
360	8	1	COCO_val2014_000000279521	1	490	0.000000
368	8	1	COCO_val2014_000000226380	1	405	0.000000
376	8	1	COCO_val2014_000000197796	1	351	0.000000
384	8	1	COCO_val2014_000000347171	1	611	0.000000
392	8	1	COCO_val2014_000000328814	1	577	0.000000
400	8	1	COCO_val2014_000000002290	1	5	400.063925
408	8	2	COCO_val2014_000000002290	1	5	409.033196
416	8	1	COCO_val2014_000000034121	1	58	0.000000
424	8	1	COCO_val2014_000000516846	1	864	0.000000
432	8	1	COCO_val2014_000000092416	1	156	0.000000
440	8	1	COCO_val2014_000000567683	1	965	0.000000
448	8	1	COCO_val2014_000000189806	1	333	0.000000
456	8	1	COCO_val2014_000000258036	1	448	0.000000
464	8	1	COCO_val2014_000000006527	1	14	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
