onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	19
32	8	1	n04587559_13463	1	31	0.0	19
40	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	45	0.0	19
48	8	1	n02346627_13993	1	7	0.0	19
56	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	35	0.0	19
64	8	1	origImg_181	1	32	0.0	19
72	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	59	0.0	19
80	8	1	n02951358_23759	1	18	0.0	19
88	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	46	0.0	19
96	8	1	n03950228_27533	1	25	0.0	19
104	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	36	0.0	19
112	8	1	n04297750_25624	1	30	0.0	19
120	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	64	0.0	19
128	8	1	n02439033_9911	1	9	0.0	19
136	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	42	0.0	19
144	8	1	n01944390_20670	1	5	0.0	19
152	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	34	0.0	19
160	8	1	n02391049_2286	1	8	0.0	19
168	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	47	0.0	19
176	8	1	n01943899_24131	1	4	0.0	19
184	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	40	0.0	19
192	8	1	n03455488_28622	1	22	0.0	19
200	8	1	abuttingLine019_linespace_6_angle_090_hline	2	51	0.0	19
208	8	2	abuttingLine019_linespace_6_angle_090_hline	2	51	209.6224899210065	19
216	8	1	n03425413_18382	1	21	0.0	19
224	8	1	abuttingLine017_linespace_6_angle_000_vline	2	49	0.0	19
232	8	2	abuttingLine017_linespace_6_angle_000_vline	2	49	233.6220409360103	19
240	8	1	n02797295_15411	1	12	0.0	19
248	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	61	0.0	19
256	8	2	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	61	257.6215549840126	19
264	8	1	n02882301_14188	1	16	0.0	19
272	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	48	0.0	19
280	8	1	n02766534_15976	1	11	0.0	19
288	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	50	0.0	19
296	8	1	n01858441_11077	1	3	0.0	19
304	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	60	0.0	19
312	6	-2	n/a	n/a	n/a	0.0	19
