onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	COCO_val2014_000000421834	1	727	0.000000
40	8	1	COCO_val2014_000000372384	1	641	0.000000
48	8	1	COCO_val2014_000000276921	1	487	0.000000
56	8	1	COCO_val2014_000000232949	1	412	0.000000
64	8	1	COCO_val2014_000000405223	1	701	0.000000
72	8	1	COCO_val2014_000000350668	1	615	0.000000
80	8	1	COCO_val2014_000000529806	1	886	0.000000
88	8	1	COCO_val2014_000000305799	1	540	0.000000
96	8	1	COCO_val2014_000000273688	1	482	0.000000
104	8	1	COCO_val2014_000000252617	1	439	0.000000
112	8	1	COCO_val2014_000000269346	1	475	119.035852
120	8	1	COCO_val2014_000000478874	1	820	0.000000
128	8	1	COCO_val2014_000000507143	1	852	0.000000
136	8	1	COCO_val2014_000000152120	1	261	0.000000
144	8	1	COCO_val2014_000000130613	1	225	0.000000
152	8	1	COCO_val2014_000000518729	1	868	0.000000
160	8	1	COCO_val2014_000000426247	1	735	0.000000
168	8	1	COCO_val2014_000000270316	1	478	0.000000
176	8	1	COCO_val2014_000000292647	1	514	0.000000
184	8	1	COCO_val2014_000000458790	1	777	0.000000
192	8	1	COCO_val2014_000000268987	1	472	0.000000
200	8	2	COCO_val2014_000000268987	1	472	0.000000
208	8	1	COCO_val2014_000000107084	1	187	0.000000
216	8	1	COCO_val2014_000000112232	1	195	0.000000
224	8	1	COCO_val2014_000000564088	1	958	0.000000
232	8	1	COCO_val2014_000000022341	1	39	0.000000
240	8	1	COCO_val2014_000000004359	1	10	0.000000
248	8	1	COCO_val2014_000000536166	1	902	0.000000
256	8	1	COCO_val2014_000000536653	1	906	0.000000
264	8	1	COCO_val2014_000000052947	1	95	0.000000
272	8	2	COCO_val2014_000000052947	1	95	0.000000
280	8	1	COCO_val2014_000000532693	1	895	0.000000
288	8	1	COCO_val2014_000000316031	1	557	0.000000
296	8	1	COCO_val2014_000000127135	1	218	0.000000
304	8	1	COCO_val2014_000000428105	1	739	0.000000
312	8	1	COCO_val2014_000000501538	1	845	0.000000
320	8	1	COCO_val2014_000000048609	1	90	0.000000
328	8	2	COCO_val2014_000000048609	1	90	329.031679
336	8	1	COCO_val2014_000000165172	1	283	0.000000
344	8	1	COCO_val2014_000000330954	1	582	0.000000
352	8	1	COCO_val2014_000000125997	1	216	0.000000
360	8	1	COCO_val2014_000000559821	1	951	0.000000
368	8	2	COCO_val2014_000000559821	1	951	369.030862
376	8	1	COCO_val2014_000000471251	1	805	0.000000
384	8	1	COCO_val2014_000000099736	1	172	0.000000
392	8	1	COCO_val2014_000000155449	1	264	0.000000
400	8	1	COCO_val2014_000000216581	1	383	0.000000
408	8	1	COCO_val2014_000000455735	1	771	0.000000
416	8	1	COCO_val2014_000000360600	1	627	0.000000
424	8	1	COCO_val2014_000000246233	1	430	0.000000
432	8	1	COCO_val2014_000000315962	1	556	0.000000
440	8	1	COCO_val2014_000000282878	1	499	0.000000
448	8	1	COCO_val2014_000000452218	1	767	0.000000
456	8	1	COCO_val2014_000000155451	1	265	0.000000
464	8	2	COCO_val2014_000000155451	1	265	465.028918
472	6	-2	n/a	n/a	n/a	0.000000
