onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	foliage_final_083_new	2	183	0	1	0
40	8	1	fabric_moderate_033_new	1	33	0	1	0
48	8	1	wood_object_041_new	10	991	0	1	0
56	8	1	fabric_moderate_030_new	1	30	0	1	0
64	8	1	foliage_final_009_new	2	109	0	1	0
72	8	1	paper_object_020_new	6	570	0	1	0
80	8	1	glass_moderate_022_new	3	222	0	1	0
88	8	1	fabric_moderate_022_new	1	22	0	1	0
96	8	1	plastic_moderate_018_new	7	618	0	1	0
104	8	1	wood_moderate_030_new	10	930	0	1	0
112	8	1	stone_object_002_new	8	752	0	1	0
120	8	1	leather_object_030_new	4	380	0	1	0
128	8	1	plastic_moderate_025_new	7	625	0	1	0
136	8	1	water_moderate_034_new	9	834	0	1	0
144	8	1	plastic_object_009_new	7	659	0	1	0
152	8	1	water_moderate_023_new	9	823	0	1	0
160	8	1	leather_object_045_new	4	395	0	1	0
168	8	1	metal_object_009_new	5	459	0	1	0
176	8	1	fabric_moderate_024_new	1	24	0	1	0
184	8	1	leather_object_004_new	4	354	0	1	0
192	8	1	glass_object_031_new	3	281	0	1	0
200	8	2	glass_object_031_new	3	281	0	1	0
208	8	1	plastic_object_038_new	7	688	0	1	0
216	8	1	stone_moderate_019_new	8	719	0	1	0
224	8	2	stone_moderate_019_new	8	719	0	1	0
232	8	1	fabric_moderate_036_new	1	36	0	1	0
240	8	1	paper_moderate_040_new	6	540	0	1	0
248	8	1	plastic_object_028_new	7	678	0	1	0
256	8	1	foliage_final_025_new	2	125	0	1	0
264	8	1	glass_object_024_new	3	274	0	1	0
272	8	2	glass_object_024_new	3	274	0	1	0
280	8	1	wood_moderate_015_new	10	915	0	1	0
288	8	1	stone_object_023_new	8	773	0	1	0
296	8	1	wood_object_003_new	10	953	0	1	0
304	8	1	stone_object_032_new	8	782	0	1	0
312	8	1	leather_moderate_004_new	4	304	0	1	0
320	8	2	leather_moderate_004_new	4	304	0	1	0
328	8	1	metal_moderate_036_new	5	436	0	1	0
336	8	1	metal_object_045_new	5	495	0	1	0
344	8	1	paper_moderate_046_new	6	546	0	1	0
352	8	2	paper_moderate_046_new	6	546	0	1	0
360	8	1	water_moderate_010_new	9	810	0	1	0
368	8	1	glass_moderate_041_new	3	241	0	1	0
376	8	1	water_moderate_029_new	9	829	0	1	0
384	8	1	wood_object_011_new	10	961	0	1	0
392	8	1	paper_moderate_014_new	6	514	0	1	0
400	8	1	paper_moderate_009_new	6	509	0	1	0
408	8	1	foliage_final_077_new	2	177	0	1	0
416	8	1	stone_object_024_new	8	774	0	1	0
424	8	1	metal_moderate_031_new	5	431	0	1	0
432	8	1	glass_object_007_new	3	257	0	1	0
440	8	1	leather_moderate_037_new	4	337	0	1	0
448	8	1	water_moderate_007_new	9	807	0	1	0
456	8	1	metal_object_041_new	5	491	0	1	0
464	8	1	foliage_final_038_new	2	138	0	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
