onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	COCO_val2014_000000343325	1	604	0.000000
40	8	1	COCO_val2014_000000456465	1	772	0.000000
48	8	1	COCO_val2014_000000045057	1	80	0.000000
56	8	1	COCO_val2014_000000559821	1	951	0.000000
64	8	1	COCO_val2014_000000578977	1	994	0.000000
72	8	1	COCO_val2014_000000155449	1	264	0.000000
80	8	1	COCO_val2014_000000518716	1	867	0.000000
88	8	2	COCO_val2014_000000518716	1	867	89.181387
96	8	1	COCO_val2014_000000477042	1	815	0.000000
104	8	1	COCO_val2014_000000258036	1	448	0.000000
112	8	1	COCO_val2014_000000339426	1	597	0.000000
120	8	1	COCO_val2014_000000230976	1	411	0.000000
128	8	1	COCO_val2014_000000437931	1	753	0.000000
136	8	1	COCO_val2014_000000112517	1	196	0.000000
144	8	1	COCO_val2014_000000280242	1	492	0.000000
152	8	1	COCO_val2014_000000256095	1	443	0.000000
160	8	1	COCO_val2014_000000170638	1	293	0.000000
168	8	1	COCO_val2014_000000070675	1	123	0.000000
176	8	1	COCO_val2014_000000299785	1	529	0.000000
184	8	1	COCO_val2014_000000106810	1	186	0.000000
192	8	1	COCO_val2014_000000022341	1	39	0.000000
200	8	1	COCO_val2014_000000042492	1	71	0.000000
208	8	1	COCO_val2014_000000268755	1	471	0.000000
216	8	1	COCO_val2014_000000300214	1	532	0.000000
224	8	1	COCO_val2014_000000334941	1	588	0.000000
232	8	1	COCO_val2014_000000484584	1	826	0.000000
240	8	2	COCO_val2014_000000484584	1	826	241.272834
248	8	1	COCO_val2014_000000181278	1	314	0.000000
256	8	1	COCO_val2014_000000269314	1	474	0.000000
264	8	1	COCO_val2014_000000183249	1	319	0.000000
272	8	1	COCO_val2014_000000156704	1	266	0.000000
280	8	1	COCO_val2014_000000022667	1	40	0.000000
288	8	1	COCO_val2014_000000505492	1	850	0.000000
296	8	1	COCO_val2014_000000195750	1	346	0.000000
304	8	1	COCO_val2014_000000290521	1	509	0.000000
312	8	1	COCO_val2014_000000476841	1	813	0.000000
320	8	1	COCO_val2014_000000087956	1	146	0.000000
328	8	1	COCO_val2014_000000105689	1	182	0.000000
336	8	1	COCO_val2014_000000114239	1	201	0.000000
344	8	1	COCO_val2014_000000285583	1	501	0.000000
352	8	1	COCO_val2014_000000022861	1	41	0.000000
360	8	1	COCO_val2014_000000538198	1	910	0.000000
368	8	1	COCO_val2014_000000349321	1	614	0.000000
376	8	1	COCO_val2014_000000063478	1	113	0.000000
384	8	2	COCO_val2014_000000063478	1	113	385.376110
392	8	1	COCO_val2014_000000518177	1	865	0.000000
400	8	1	COCO_val2014_000000382207	1	662	0.000000
408	8	1	COCO_val2014_000000324614	1	569	0.000000
416	8	2	COCO_val2014_000000324614	1	569	417.275085
424	8	1	COCO_val2014_000000525927	1	878	0.000000
432	8	1	COCO_val2014_000000226380	1	405	0.000000
440	8	1	COCO_val2014_000000217440	1	385	0.000000
448	8	1	COCO_val2014_000000381639	1	661	0.000000
456	8	1	COCO_val2014_000000096241	1	166	0.000000
464	8	2	COCO_val2014_000000096241	1	166	465.205682
472	6	-2	n/a	n/a	n/a	0.000000
