onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	stone_moderate_017_new	8	717	0.000000
40	8	1	glass_object_037_new	3	287	0.000000
48	8	1	wood_moderate_018_new	10	918	0.000000
56	8	1	fabric_moderate_006_new	1	6	0.000000
64	8	1	plastic_moderate_023_new	7	623	0.000000
72	8	1	paper_moderate_009_new	6	509	0.000000
80	8	1	wood_moderate_038_new	10	938	0.000000
88	8	1	stone_moderate_005_new	8	705	0.000000
96	8	2	stone_moderate_005_new	8	705	97.030202
104	8	1	glass_object_044_new	3	294	0.000000
112	8	1	plastic_moderate_044_new	7	644	0.000000
120	8	1	metal_moderate_014_new	5	414	0.000000
128	8	1	leather_moderate_041_new	4	341	0.000000
136	8	1	paper_moderate_027_new	6	527	0.000000
144	8	1	water_object_016_new	9	866	0.000000
152	8	1	water_moderate_050_new	9	850	0.000000
160	8	2	water_moderate_050_new	9	850	161.028883
168	8	1	metal_object_040_new	5	490	0.000000
176	8	1	wood_object_041_new	10	991	0.000000
184	8	1	leather_object_043_new	4	393	0.000000
192	8	1	plastic_moderate_028_new	7	628	0.000000
200	8	1	glass_object_012_new	3	262	0.000000
208	8	1	water_moderate_026_new	9	826	0.000000
216	8	1	foliage_final_057_new	2	157	0.000000
224	8	1	paper_object_008_new	6	558	0.000000
232	8	1	foliage_final_084_new	2	184	0.000000
240	8	1	plastic_moderate_017_new	7	617	0.000000
248	8	1	paper_moderate_032_new	6	532	0.000000
256	8	1	fabric_object_036_new	1	86	0.000000
264	8	1	leather_moderate_040_new	4	340	0.000000
272	8	1	glass_moderate_014_new	3	214	0.000000
280	8	1	metal_moderate_016_new	5	416	0.000000
288	8	1	foliage_final_015_new	2	115	0.000000
296	8	1	fabric_object_016_new	1	66	0.000000
304	8	2	fabric_object_016_new	1	66	305.026114
312	8	1	stone_object_012_new	8	762	0.000000
320	8	1	water_moderate_027_new	9	827	0.000000
328	8	1	leather_object_050_new	4	400	0.000000
336	8	1	paper_object_037_new	6	587	0.000000
344	8	1	foliage_final_037_new	2	137	0.000000
352	8	2	foliage_final_037_new	2	137	353.025095
360	8	1	metal_moderate_044_new	5	444	0.000000
368	8	1	foliage_final_067_new	2	167	0.000000
376	8	1	wood_object_019_new	10	969	0.000000
384	8	1	plastic_object_021_new	7	671	0.000000
392	8	1	stone_object_035_new	8	785	0.000000
400	8	1	stone_moderate_002_new	8	702	0.000000
408	8	1	fabric_object_032_new	1	82	0.000000
416	8	1	fabric_moderate_038_new	1	38	0.000000
424	8	1	water_object_034_new	9	884	0.000000
432	8	1	wood_moderate_032_new	10	932	0.000000
440	8	2	wood_moderate_032_new	10	932	441.023383
448	8	1	leather_moderate_018_new	4	318	0.000000
456	8	1	glass_object_029_new	3	279	0.000000
464	8	1	metal_object_012_new	5	462	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
