onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	32
32	8	1	n04210120_9062	1	33	0.0	32
40	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	32
48	8	2	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	49.64263627299806	32
56	8	1	n01943899_24131	1	4	0.0	32
64	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	32
72	8	1	n02974003_9408	1	22	0.0	32
80	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	32
88	8	1	n01855672_15767	1	2	0.0	32
96	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	32
104	8	1	n03425413_18382	1	25	0.0	32
112	8	2	n03425413_18382	1	25	0.0	32
120	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	32
128	8	1	n02346627_13993	1	8	0.0	32
136	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	32
144	8	1	n03743279_13788	1	30	0.0	32
152	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	32
160	8	1	n02841315_35046	1	17	0.0	32
168	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	32
176	8	2	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	176.76797075198556	32
184	8	1	n03483823_8150	1	29	0.0	32
192	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	32
200	8	1	origImg_181	1	38	0.0	32
208	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	32
216	8	1	n02802215_26105	1	16	0.0	32
224	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	32
232	8	1	n02766534_15976	1	13	0.0	32
240	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	32
248	8	1	n02005790_9371	1	6	0.0	32
256	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	32
264	8	1	n04587559_13463	1	37	0.0	32
272	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	0.0	32
280	8	2	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	281.63485271499667	32
288	8	1	n03335030_10544	1	24	0.0	32
296	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	32
304	8	1	n04297750_25624	1	36	0.0	32
312	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	32
320	8	1	n03483823_7612	1	28	0.0	32
328	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	32
336	8	1	n01944390_20670	1	5	0.0	32
344	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	32
352	8	1	n02391049_2286	1	10	0.0	32
360	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	32
368	6	-2	n/a	n/a	n/a	0.0	32
