onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	stone_moderate_050_new	8	750	0.000000
40	8	1	fabric_object_037_new	1	87	0.000000
48	8	1	water_moderate_045_new	9	845	0.000000
56	8	1	fabric_moderate_040_new	1	40	0.000000
64	8	1	wood_object_001_new	10	951	0.000000
72	8	1	metal_object_021_new	5	471	0.000000
80	8	1	foliage_final_024_new	2	124	0.000000
88	8	1	foliage_final_035_new	2	135	0.000000
96	8	1	fabric_object_007_new	1	57	0.000000
104	8	1	glass_object_002_new	3	252	0.000000
112	8	1	leather_object_024_new	4	374	0.000000
120	8	1	leather_moderate_037_new	4	337	0.000000
128	8	1	stone_object_014_new	8	764	0.000000
136	8	1	stone_moderate_030_new	8	730	0.000000
144	8	1	paper_object_030_new	6	580	0.000000
152	8	1	paper_object_047_new	6	597	0.000000
160	8	1	paper_moderate_047_new	6	547	0.000000
168	8	1	wood_object_025_new	10	975	0.000000
176	8	1	leather_object_036_new	4	386	0.000000
184	8	1	water_moderate_032_new	9	832	0.000000
192	8	1	glass_object_032_new	3	282	0.000000
200	8	2	glass_object_032_new	3	282	201.029362
208	8	1	fabric_object_045_new	1	95	0.000000
216	8	1	metal_moderate_001_new	5	401	0.000000
224	8	2	metal_moderate_001_new	5	401	225.028918
232	8	1	water_moderate_039_new	9	839	0.000000
240	8	1	stone_object_036_new	8	786	0.000000
248	8	1	stone_object_015_new	8	765	0.000000
256	8	1	plastic_object_027_new	7	677	0.000000
264	8	1	plastic_object_006_new	7	656	0.000000
272	8	2	plastic_object_006_new	7	656	273.028047
280	8	1	glass_object_038_new	3	288	0.000000
288	8	1	wood_object_016_new	10	966	0.000000
296	8	1	metal_object_018_new	5	468	0.000000
304	8	1	wood_object_032_new	10	982	0.000000
312	8	1	foliage_final_071_new	2	171	0.000000
320	8	2	foliage_final_071_new	2	171	321.027112
328	8	1	water_object_011_new	9	861	0.000000
336	8	1	metal_object_026_new	5	476	0.000000
344	8	1	plastic_object_036_new	7	686	0.000000
352	8	2	plastic_object_036_new	7	686	353.026513
360	8	1	metal_moderate_013_new	5	413	0.000000
368	8	1	leather_object_011_new	4	361	0.000000
376	8	1	water_object_037_new	9	887	0.000000
384	8	1	glass_object_011_new	3	261	0.000000
392	8	1	foliage_final_065_new	2	165	0.000000
400	8	1	paper_moderate_014_new	6	514	0.000000
408	8	1	glass_moderate_037_new	3	237	0.000000
416	8	1	foliage_final_041_new	2	141	0.000000
424	8	1	leather_object_033_new	4	383	0.000000
432	8	1	paper_moderate_028_new	6	528	0.000000
440	8	1	wood_object_011_new	10	961	0.000000
448	8	1	plastic_moderate_016_new	7	616	0.000000
456	8	1	plastic_moderate_050_new	7	650	0.000000
464	8	1	fabric_object_030_new	1	80	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
