onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	24	1
32	8	1	n04419073_21368	133	1062	0.0	24	1
40	8	1	n03918737_8191	101	808	0.0	24	1
48	8	2	n03918737_8191	101	808	54.038175653997314	24	1
56	8	1	n04591713_5928	141	1126	0.0	24	1
64	8	2	n04591713_5928	141	1126	66.05372387099851	24	1
72	8	1	n02508213_7987	39	312	0.0	24	1
80	8	1	n02882647_13757	50	393	0.0	24	1
88	8	1	n03187595_3646	60	474	0.0	24	1
96	8	1	n04044716_19527	106	845	0.0	24	1
104	8	1	n07734744_5146	144	1147	0.0	24	1
112	8	1	n04373894_59446	126	1008	0.0	24	1
120	8	1	n04113406_21007	110	876	0.0	24	1
128	8	1	n02439033_14148	33	258	0.0	24	1
136	8	1	n04254680_1190	119	947	0.0	24	1
144	8	1	n02131653_2806	24	188	0.0	24	1
152	8	1	n03400231_18679	69	546	0.0	24	1
160	8	1	n03063599_4177	56	445	0.0	24	1
168	8	2	n03063599_4177	56	445	169.31844737799838	24	1
176	8	1	n03543603_2363	80	634	0.0	24	1
184	8	2	n03543603_2363	80	634	0.0	24	1
192	8	1	n02885462_9275	51	408	0.0	24	1
200	8	1	n01726692_8752	6	46	0.0	24	1
208	8	1	n13111881_9170	150	1200	0.0	24	1
216	8	1	n03760671_13659	94	748	0.0	24	1
224	8	1	n03397947_7453	68	542	0.0	24	1
232	8	2	n03397947_7453	68	542	233.056225499	24	1
240	8	1	n04086273_3464	108	862	0.0	24	1
248	8	1	n04123740_14377	111	884	0.0	24	1
256	8	1	n07758680_17888	146	1166	0.0	24	1
264	8	1	n04320973_14553	125	995	0.0	24	1
272	8	1	n02998003_2616	54	426	0.0	24	1
280	8	1	n04612026_10008	142	1129	0.0	24	1
288	8	1	n01770393_18012	8	60	0.0	24	1
296	8	1	n02800213_17884	44	348	0.0	24	1
304	8	1	n03792782_16817	96	762	0.0	24	1
312	8	1	n03494278_42246	76	608	0.0	24	1
320	8	1	n01772222_11885	9	67	0.0	24	1
328	8	1	n03623556_9879	86	688	0.0	24	1
336	8	1	n03886762_12568	100	795	0.0	24	1
344	8	1	n03038480_1066	55	433	0.0	24	1
352	8	1	n03837869_4261	99	786	0.0	24	1
360	8	1	n03425413_22005	70	560	0.0	24	1
368	8	1	n03982430_21511	104	826	0.0	24	1
376	8	1	n01645776_10758	3	18	0.0	24	1
384	8	1	n01970164_28566	17	134	0.0	24	1
392	8	1	n02068974_17710	21	163	0.0	24	1
400	8	1	n04376876_7775	127	1016	0.0	24	1
408	8	1	n02769748_43506	42	335	0.0	24	1
416	8	1	n04284002_20945	123	983	0.0	24	1
424	8	1	n04168199_9648	114	910	0.0	24	1
432	8	1	n02055803_8152	20	158	0.0	24	1
440	8	1	n02090827_5708	23	181	0.0	24	1
448	8	1	n01518878_8432	1	8	0.0	24	1
456	8	1	n02692877_11314	40	314	0.0	24	1
464	8	1	n03746005_8861	93	743	0.0	24	1
472	6	-2	n/a	n/a	n/a	0.0	24	1
