onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	11
32	8	1	n02802215_26105	1	16	0.0	11
40	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	11
48	8	2	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	49.62675458499871	11
56	8	1	n03483823_7612	1	28	0.0	11
64	8	2	n03483823_7612	1	28	65.62632499801111	11
72	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	11
80	8	1	n03483823_8150	1	29	0.0	11
88	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	11
96	8	1	n02974003_9408	1	22	0.0	11
104	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	11
112	8	1	n02391049_2286	1	10	0.0	11
120	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	11
128	8	1	n02882301_14188	1	19	0.0	11
136	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	11
144	8	1	n02882647_18337	1	20	0.0	11
152	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	11
160	8	1	n01621127_19020	1	1	0.0	11
168	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	11
176	8	1	n02797295_15411	1	14	0.0	11
184	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	61	0.0	11
192	8	1	n01943899_24131	1	4	0.0	11
200	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	11
208	8	1	n01855672_15767	1	2	0.0	11
216	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	11
224	8	1	n02843158_4722	1	18	0.0	11
232	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	11
240	8	1	n03743279_13788	1	30	0.0	11
248	8	2	n03743279_13788	1	30	248.7500599740015	11
256	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	11
264	8	1	origImg_181	1	38	0.0	11
272	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	0.0	11
280	8	1	n02346627_13993	1	8	0.0	11
288	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	11
296	8	1	n04210120_9062	1	33	0.0	11
304	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	11
312	8	1	n02951358_23759	1	21	0.0	11
320	8	2	n02951358_23759	1	21	320.72994228500465	11
328	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	11
336	8	1	n02841315_35046	1	17	0.0	11
344	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	11
352	8	1	n03335030_10544	1	24	0.0	11
360	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	11
368	6	-2	n/a	n/a	n/a	0.0	11
