onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	13
32	8	1	n01943899_24131	1	4	0.0	13
40	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	13
48	8	1	n02882301_14188	1	19	0.0	13
56	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	13
64	8	1	n04070727_16664	1	32	0.0	13
72	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	13
80	8	1	n02346627_13993	1	8	0.0	13
88	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	13
96	8	1	n01944390_20670	1	5	0.0	13
104	8	2	n01944390_20670	1	5	105.62995730400144	13
112	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	13
120	8	1	n02841315_35046	1	17	0.0	13
128	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	13
136	8	1	n02439033_9911	1	11	0.0	13
144	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	13
152	8	1	n03483823_8150	1	29	0.0	13
160	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	61	0.0	13
168	8	1	n03950228_27533	1	31	0.0	13
176	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	13
184	8	1	n02766534_15976	1	13	0.0	13
192	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	13
200	8	1	n02799175_11275	1	15	0.0	13
208	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	13
216	8	2	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	13
224	8	1	n02843158_4722	1	18	0.0	13
232	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	13
240	8	1	n01621127_19020	1	1	0.0	13
248	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	13
256	8	2	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	257.62704356999893	13
264	8	1	n02374451_17284	1	9	0.0	13
272	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	13
280	8	1	origImg_181	1	38	0.0	13
288	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	13
296	8	1	n03063599_4177	1	23	0.0	13
304	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	53	0.0	13
312	8	1	n04233124_14971	1	34	0.0	13
320	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	59	0.0	13
328	8	1	n04252077_10859	1	35	0.0	13
336	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	13
344	8	1	n01858441_11077	1	3	0.0	13
352	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	13
360	8	2	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	13
368	6	-2	n/a	n/a	n/a	0.0	13
