onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	plastic_moderate_036_new	7	636	0.000000
40	8	1	paper_object_009_new	6	559	0.000000
48	8	1	water_moderate_036_new	9	836	0.000000
56	8	1	fabric_object_022_new	1	72	0.000000
64	8	1	stone_object_017_new	8	767	0.000000
72	8	1	glass_object_012_new	3	262	0.000000
80	8	1	glass_object_012_new	3	262	0.000000
88	8	1	fabric_moderate_049_new	1	49	0.000000
96	8	2	water_moderate_040_new	9	840	97.032252
104	8	1	leather_moderate_001_new	4	301	0.000000
112	8	1	foliage_final_050_new	2	150	0.000000
120	8	1	wood_object_029_new	10	979	0.000000
128	8	1	paper_moderate_044_new	6	544	0.000000
136	8	1	wood_object_019_new	10	969	0.000000
144	8	2	plastic_moderate_031_new	7	631	0.000000
152	8	1	wood_moderate_002_new	10	902	0.000000
160	8	1	foliage_final_029_new	2	129	0.000000
168	8	1	fabric_moderate_041_new	1	41	0.000000
176	8	1	leather_moderate_023_new	4	323	0.000000
184	8	1	plastic_moderate_037_new	7	637	0.000000
192	8	2	glass_moderate_038_new	3	238	193.245694
200	8	1	metal_object_008_new	5	458	0.000000
208	8	1	paper_object_007_new	6	557	0.000000
216	8	1	glass_moderate_013_new	3	213	0.000000
224	8	1	leather_object_027_new	4	377	0.000000
232	8	1	water_object_014_new	9	864	0.000000
240	8	2	metal_moderate_038_new	5	438	0.000000
248	8	1	leather_object_041_new	4	391	0.000000
256	8	1	plastic_object_040_new	7	690	0.000000
264	8	1	fabric_moderate_020_new	1	20	0.000000
272	8	1	foliage_final_091_new	2	191	0.000000
280	8	1	water_moderate_030_new	9	830	0.000000
288	8	1	foliage_final_095_new	2	195	0.000000
296	8	1	foliage_final_095_new	2	195	0.000000
304	8	1	stone_object_041_new	8	791	0.000000
312	8	1	glass_object_047_new	3	297	0.000000
320	8	1	wood_moderate_022_new	10	922	0.000000
328	8	1	wood_moderate_022_new	10	922	0.000000
336	8	1	leather_moderate_006_new	4	306	0.000000
344	8	1	stone_moderate_005_new	8	705	0.000000
352	8	1	foliage_final_023_new	2	123	0.000000
360	8	1	plastic_object_007_new	7	657	0.000000
368	8	1	paper_object_034_new	6	584	0.000000
376	8	1	fabric_moderate_006_new	1	6	0.000000
384	8	1	stone_moderate_049_new	8	749	0.000000
392	8	1	wood_object_016_new	10	966	0.000000
400	8	1	wood_object_016_new	10	966	0.000000
408	8	1	stone_object_050_new	8	800	0.000000
416	8	1	paper_moderate_008_new	6	508	0.000000
424	8	1	metal_object_004_new	5	454	0.000000
432	8	1	metal_object_004_new	5	454	0.000000
440	8	1	water_moderate_025_new	9	825	0.000000
448	8	2	glass_object_041_new	3	291	0.000000
456	8	1	metal_moderate_010_new	5	410	0.000000
464	8	1	metal_moderate_018_new	5	418	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
