onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	12	1
32	8	1	n02769748_20423	42	330	0.0	12	1
40	8	1	n02802215_19473	45	355	0.0	12	1
48	8	1	n04313503_19773	124	986	0.0	12	1
56	8	1	n03646296_2966	88	699	0.0	12	1
64	8	1	n07756951_18174	145	1159	0.0	12	1
72	8	1	n02432983_20705	32	252	0.0	12	1
80	8	1	n02236241_6815	27	214	0.0	12	1
88	8	1	n03950228_27533	103	820	0.0	12	1
96	8	2	n03950228_27533	103	820	97.03424020699458	12	1
104	8	1	n03837869_3611	99	785	0.0	12	1
112	8	1	n03544143_1497	81	643	0.0	12	1
120	8	1	n03982430_29809	104	828	0.0	12	1
128	8	2	n03982430_29809	104	828	129.03077065399702	12	1
136	8	1	n02480855_20865	36	286	0.0	12	1
144	8	1	n03335030_26098	64	509	0.0	12	1
152	8	1	n01833805_12155	12	91	0.0	12	1
160	8	1	n03918737_4580	101	807	0.0	12	1
168	8	1	n02005790_3943	18	141	0.0	12	1
176	8	1	n03649909_13625	89	707	0.0	12	1
184	8	1	n04482393_6359	137	1096	0.0	12	1
192	8	1	n03792782_13140	96	761	0.0	12	1
200	8	1	n04233124_17123	118	942	0.0	12	1
208	8	2	n04233124_17123	118	942	209.0388893519994	12	1
216	8	1	n03472535_21289	74	588	0.0	12	1
224	8	1	n02084071_34874	22	176	0.0	12	1
232	8	1	n04376876_10149	127	1009	0.0	12	1
240	8	1	n04180888_4820	115	918	0.0	12	1
248	8	1	n01726692_18809	6	41	0.0	12	1
256	8	1	n02799175_16780	43	342	0.0	12	1
264	8	2	n02799175_16780	43	342	265.03295556100056	12	1
272	8	1	n03494278_29023	76	603	0.0	12	1
280	8	2	n03494278_29023	76	603	284.0309166309962	12	1
288	8	1	n01770393_10195	8	57	0.0	12	1
296	8	1	n04555897_23902	139	1107	0.0	12	1
304	8	1	n04272054_21409	121	962	0.0	12	1
312	8	1	n04225987_6536	117	933	0.0	12	1
320	8	1	n04123740_8706	111	888	0.0	12	1
328	8	1	n04497801_3101	138	1100	0.0	12	1
336	8	1	n02841315_24352	48	383	0.0	12	1
344	8	1	n04373894_43971	126	1006	0.0	12	1
352	8	1	n02814860_33006	47	373	0.0	12	1
360	8	1	n03612010_10712	85	673	0.0	12	1
368	8	1	n04401680_28024	129	1030	0.0	12	1
376	8	1	n02974003_1210	53	417	0.0	12	1
384	8	1	n04412416_11267	132	1050	0.0	12	1
392	8	1	n04154565_10692	113	897	0.0	12	1
400	8	1	n01518878_12028	1	2	0.0	12	1
408	8	1	n02055803_7345	20	156	0.0	12	1
416	8	1	n03496296_12686	77	611	0.0	12	1
424	8	1	n03079230_8270	57	456	0.0	12	1
432	8	1	n02445715_5508	34	271	0.0	12	1
440	8	1	n04273569_17297	122	973	0.0	12	1
448	8	1	n03512147_3723	78	620	0.0	12	1
456	8	1	n04409515_8358	130	1040	0.0	12	1
464	8	1	n03359137_39086	66	526	0.0	12	1
472	6	-2	n/a	n/a	n/a	0.0	12	1
