onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	30
32	8	1	n02974003_9408	1	22	0.0	30
40	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	30
48	8	1	n02843158_4722	1	18	0.0	30
56	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	30
64	8	1	n01855672_15767	1	2	0.0	30
72	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	30
80	8	1	n02472293_34273	1	12	0.0	30
88	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	30
96	8	1	n02346627_13993	1	8	0.0	30
104	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	30
112	8	1	n02799175_11275	1	15	0.0	30
120	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	51	0.0	30
128	8	1	origImg_181	1	38	0.0	30
136	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	30
144	8	1	n03425413_18382	1	25	0.0	30
152	8	2	n03425413_18382	1	25	152.75998769100988	30
160	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	30
168	8	1	n04297750_25624	1	36	0.0	30
176	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	30
184	8	1	n02882301_14188	1	19	0.0	30
192	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	30
200	8	2	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	201.62739881899324	30
208	8	1	n02391049_2286	1	10	0.0	30
216	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	30
224	8	1	n04587559_13463	1	37	0.0	30
232	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	30
240	8	1	n03743279_13788	1	30	0.0	30
248	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	30
256	8	1	n01858441_11077	1	3	0.0	30
264	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	54	0.0	30
272	8	1	n02068974_4884	1	7	0.0	30
280	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	30
288	8	1	n03483823_7612	1	28	0.0	30
296	8	2	n03483823_7612	1	28	297.6254893800069	30
304	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	30
312	8	1	n02005790_9371	1	6	0.0	30
320	8	2	n02005790_9371	1	6	321.62503282900434	30
328	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	30
336	8	1	n02374451_17284	1	9	0.0	30
344	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	41	0.0	30
352	8	1	n03455488_28622	1	26	0.0	30
360	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	0.0	30
368	6	-2	n/a	n/a	n/a	0.0	30
