onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	paper_moderate_008_new	6	508	0.0	1	0
40	8	1	wood_object_003_new	10	953	0.0	1	0
48	8	1	fabric_moderate_036_new	1	36	0.0	1	0
56	8	1	wood_object_048_new	10	998	0.0	1	0
64	8	1	foliage_final_098_new	2	198	0.0	1	0
72	8	1	stone_moderate_022_new	8	722	0.0	1	0
80	8	1	water_object_012_new	9	862	0.0	1	0
88	8	1	water_moderate_022_new	9	822	0.0	1	0
96	8	1	water_moderate_050_new	9	850	0.0	1	0
104	8	2	water_moderate_050_new	9	850	105.02961035794578	1	0
112	8	1	glass_moderate_037_new	3	237	0.0	1	0
120	8	1	plastic_moderate_027_new	7	627	0.0	1	0
128	8	1	leather_moderate_007_new	4	307	0.0	1	0
136	8	1	plastic_object_026_new	7	676	0.0	1	0
144	8	1	metal_object_002_new	5	452	0.0	1	0
152	8	2	metal_object_002_new	5	452	153.04392958409153	1	0
160	8	1	fabric_moderate_009_new	1	9	0.0	1	0
168	8	1	wood_moderate_050_new	10	950	0.0	1	0
176	8	1	stone_object_044_new	8	794	0.0	1	0
184	8	1	wood_moderate_021_new	10	921	0.0	1	0
192	8	1	fabric_moderate_001_new	1	1	0.0	1	0
200	8	1	leather_moderate_002_new	4	302	0.0	1	0
208	8	1	glass_object_026_new	3	276	0.0	1	0
216	8	2	glass_object_026_new	3	276	217.04094578302465	1	0
224	8	1	plastic_moderate_016_new	7	616	0.0	1	0
232	8	1	leather_object_025_new	4	375	0.0	1	0
240	8	1	stone_object_022_new	8	772	0.0	1	0
248	8	1	glass_moderate_033_new	3	233	0.0	1	0
256	8	2	glass_moderate_033_new	3	233	257.0389011700172	1	0
264	8	1	water_object_043_new	9	893	0.0	1	0
272	8	1	stone_object_032_new	8	782	0.0	1	0
280	8	1	metal_object_009_new	5	459	0.0	1	0
288	8	1	metal_moderate_028_new	5	428	0.0	1	0
296	8	1	glass_object_025_new	3	275	0.0	1	0
304	8	1	plastic_object_007_new	7	657	0.0	1	0
312	8	1	paper_moderate_028_new	6	528	0.0	1	0
320	8	1	fabric_object_008_new	1	58	0.0	1	0
328	8	1	wood_object_016_new	10	966	0.0	1	0
336	8	1	metal_moderate_018_new	5	418	0.0	1	0
344	8	1	stone_moderate_004_new	8	704	0.0	1	0
352	8	1	metal_object_046_new	5	496	0.0	1	0
360	8	1	leather_moderate_046_new	4	346	0.0	1	0
368	8	1	paper_object_006_new	6	556	0.0	1	0
376	8	1	fabric_moderate_037_new	1	37	0.0	1	0
384	8	1	paper_moderate_041_new	6	541	0.0	1	0
392	8	1	foliage_final_019_new	2	119	0.0	1	0
400	8	1	paper_moderate_049_new	6	549	0.0	1	0
408	8	1	foliage_final_075_new	2	175	0.0	1	0
416	8	1	foliage_final_076_new	2	176	0.0	1	0
424	8	2	foliage_final_076_new	2	176	425.027216166025	1	0
432	8	1	glass_moderate_028_new	3	228	0.0	1	0
440	8	1	plastic_moderate_028_new	7	628	0.0	1	0
448	8	1	leather_object_020_new	4	370	0.0	1	0
456	8	1	water_moderate_035_new	9	835	0.0	1	0
464	8	1	foliage_final_099_new	2	199	0.0	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
