onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	metal_moderate_011_new	5	411	0.0	1	0
40	8	1	leather_moderate_038_new	4	338	0.0	1	0
48	8	1	foliage_final_033_new	2	133	0.0	1	0
56	8	1	plastic_object_029_new	7	679	0.0	1	0
64	8	1	wood_moderate_005_new	10	905	0.0	1	0
72	8	1	paper_moderate_004_new	6	504	0.0	1	0
80	8	1	fabric_object_007_new	1	57	0.0	1	0
88	8	1	glass_moderate_024_new	3	224	0.0	1	0
96	8	1	stone_object_039_new	8	789	0.0	1	0
104	8	1	water_moderate_026_new	9	826	0.0	1	0
112	8	1	leather_moderate_015_new	4	315	0.0	1	0
120	8	1	fabric_moderate_044_new	1	44	0.0	1	0
128	8	1	stone_object_031_new	8	781	0.0	1	0
136	8	1	stone_moderate_024_new	8	724	0.0	1	0
144	8	1	paper_moderate_017_new	6	517	0.0	1	0
152	8	1	water_moderate_042_new	9	842	0.0	1	0
160	8	1	leather_moderate_043_new	4	343	0.0	1	0
168	8	1	wood_object_039_new	10	989	0.0	1	0
176	8	1	paper_object_043_new	6	593	0.0	1	0
184	8	1	glass_moderate_045_new	3	245	0.0	1	0
192	8	2	glass_moderate_045_new	3	245	193.02883962378837	1	0
200	8	1	foliage_final_013_new	2	113	0.0	1	0
208	8	1	water_object_008_new	9	858	0.0	1	0
216	8	1	water_moderate_036_new	9	836	0.0	1	0
224	8	1	stone_moderate_050_new	8	750	0.0	1	0
232	8	1	fabric_moderate_003_new	1	3	0.0	1	0
240	8	1	water_object_041_new	9	891	0.0	1	0
248	8	2	water_object_041_new	9	891	249.04392527090386	1	0
256	8	1	fabric_object_009_new	1	59	0.0	1	0
264	8	1	paper_moderate_043_new	6	543	0.0	1	0
272	8	1	glass_object_011_new	3	261	0.0	1	0
280	8	1	metal_object_005_new	5	455	0.0	1	0
288	8	2	metal_object_005_new	5	455	289.0413544198964	1	0
296	8	1	glass_object_038_new	3	288	0.0	1	0
304	8	1	stone_moderate_031_new	8	731	0.0	1	0
312	8	2	stone_moderate_031_new	8	731	313.0399048598483	1	0
320	8	1	glass_object_029_new	3	279	0.0	1	0
328	8	1	foliage_final_008_new	2	108	0.0	1	0
336	8	1	wood_object_034_new	10	984	0.0	1	0
344	8	1	plastic_moderate_045_new	7	645	0.0	1	0
352	8	1	paper_moderate_013_new	6	513	0.0	1	0
360	8	1	metal_moderate_043_new	5	443	0.0	1	0
368	8	1	foliage_final_062_new	2	162	0.0	1	0
376	8	1	plastic_object_009_new	7	659	0.0	1	0
384	8	1	metal_object_013_new	5	463	0.0	1	0
392	8	2	metal_object_013_new	5	463	393.03382560494356	1	0
400	8	1	wood_object_031_new	10	981	0.0	1	0
408	8	1	leather_object_032_new	4	382	0.0	1	0
416	8	1	leather_object_031_new	4	381	0.0	1	0
424	8	1	metal_moderate_016_new	5	416	0.0	1	0
432	8	1	wood_moderate_044_new	10	944	0.0	1	0
440	8	1	plastic_moderate_018_new	7	618	0.0	1	0
448	8	1	fabric_moderate_022_new	1	22	0.0	1	0
456	8	1	foliage_final_088_new	2	188	0.0	1	0
464	8	1	plastic_moderate_022_new	7	622	0.0	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
