onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	water_moderate_018_new	9	818	0.0	1	0
40	8	2	water_moderate_018_new	9	818	41.037557888776064	1	0
48	8	1	foliage_final_062_new	2	162	0.0	1	0
56	8	1	metal_object_029_new	5	479	0.0	1	0
64	8	1	fabric_object_030_new	1	80	0.0	1	0
72	8	1	paper_moderate_018_new	6	518	0.0	1	0
80	8	1	foliage_final_020_new	2	120	0.0	1	0
88	8	1	stone_moderate_007_new	8	707	0.0	1	0
96	8	1	plastic_object_013_new	7	663	0.0	1	0
104	8	1	leather_object_037_new	4	387	0.0	1	0
112	8	1	glass_object_002_new	3	252	0.0	1	0
120	8	1	glass_moderate_033_new	3	233	0.0	1	0
128	8	1	plastic_object_022_new	7	672	0.0	1	0
136	8	1	metal_moderate_012_new	5	412	0.0	1	0
144	8	1	wood_object_010_new	10	960	0.0	1	0
152	8	1	leather_object_001_new	4	351	0.0	1	0
160	8	2	leather_object_001_new	4	351	161.03170128213242	1	0
168	8	1	fabric_object_039_new	1	89	0.0	1	0
176	8	2	fabric_object_039_new	1	89	177.03030958212912	1	0
184	8	1	glass_object_004_new	3	254	0.0	1	0
192	8	1	stone_moderate_021_new	8	721	0.0	1	0
200	8	1	wood_moderate_001_new	10	901	0.0	1	0
208	8	1	plastic_moderate_019_new	7	619	0.0	1	0
216	8	1	wood_object_033_new	10	983	0.0	1	0
224	8	1	foliage_final_028_new	2	128	0.0	1	0
232	8	1	leather_moderate_042_new	4	342	0.0	1	0
240	8	1	fabric_moderate_035_new	1	35	0.0	1	0
248	8	1	water_object_039_new	9	889	0.0	1	0
256	8	1	water_object_017_new	9	867	0.0	1	0
264	8	1	paper_object_007_new	6	557	0.0	1	0
272	8	1	water_object_003_new	9	853	0.0	1	0
280	8	2	water_object_003_new	9	853	281.02544268080965	1	0
288	8	1	metal_moderate_037_new	5	437	0.0	1	0
296	8	1	fabric_moderate_011_new	1	11	0.0	1	0
304	8	1	stone_moderate_012_new	8	712	0.0	1	0
312	8	1	paper_object_036_new	6	586	0.0	1	0
320	8	1	plastic_object_039_new	7	689	0.0	1	0
328	8	1	foliage_final_056_new	2	156	0.0	1	0
336	8	1	wood_moderate_050_new	10	950	0.0	1	0
344	8	1	paper_moderate_038_new	6	538	0.0	1	0
352	8	1	glass_moderate_004_new	3	204	0.0	1	0
360	8	1	foliage_final_030_new	2	130	0.0	1	0
368	8	1	stone_moderate_004_new	8	704	0.0	1	0
376	8	1	metal_moderate_025_new	5	425	0.0	1	0
384	8	1	paper_object_031_new	6	581	0.0	1	0
392	8	1	metal_object_033_new	5	483	0.0	1	0
400	8	1	water_object_010_new	9	860	0.0	1	0
408	8	1	wood_object_044_new	10	994	0.0	1	0
416	8	1	glass_moderate_042_new	3	242	0.0	1	0
424	8	1	leather_object_049_new	4	399	0.0	1	0
432	8	1	stone_moderate_017_new	8	717	0.0	1	0
440	8	2	stone_moderate_017_new	8	717	441.0328565919772	1	0
448	8	1	fabric_object_013_new	1	63	0.0	1	0
456	8	1	leather_moderate_015_new	4	315	0.0	1	0
464	8	1	plastic_moderate_024_new	7	624	0.0	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
