onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	13	2
32	8	1	plastic_object_005_new	7	655	0.0	13	2
40	8	1	foliage_final_023_new	2	123	0.0	13	2
48	8	1	fabric_moderate_044_new	1	44	0.0	13	2
56	8	1	metal_object_029_new	5	479	0.0	13	2
64	8	2	metal_object_029_new	5	479	66.03588151599979	13	2
72	8	1	plastic_object_011_new	7	661	0.0	13	2
80	8	2	plastic_object_011_new	7	661	82.3770688130171	13	2
88	8	1	paper_object_048_new	6	598	0.0	13	2
96	8	1	fabric_moderate_014_new	1	14	0.0	13	2
104	8	1	plastic_moderate_020_new	7	620	0.0	13	2
112	8	1	wood_object_023_new	10	973	0.0	13	2
120	8	1	fabric_moderate_035_new	1	35	0.0	13	2
128	8	1	glass_moderate_021_new	3	221	0.0	13	2
136	8	1	stone_moderate_012_new	8	712	0.0	13	2
144	8	1	foliage_final_087_new	2	187	0.0	13	2
152	8	2	foliage_final_087_new	2	187	154.22563318000175	13	2
160	8	1	water_object_012_new	9	862	0.0	13	2
168	8	1	metal_moderate_011_new	5	411	0.0	13	2
176	8	1	wood_object_024_new	10	974	0.0	13	2
184	8	1	leather_moderate_033_new	4	333	0.0	13	2
192	8	1	water_object_005_new	9	855	0.0	13	2
200	8	1	foliage_final_099_new	2	199	0.0	13	2
208	8	2	foliage_final_099_new	2	199	210.40159137698356	13	2
216	8	1	wood_object_039_new	10	989	0.0	13	2
224	8	1	leather_moderate_008_new	4	308	0.0	13	2
232	8	1	water_moderate_018_new	9	818	0.0	13	2
240	8	1	paper_moderate_017_new	6	517	0.0	13	2
248	8	1	paper_moderate_037_new	6	537	0.0	13	2
256	8	1	fabric_moderate_049_new	1	49	0.0	13	2
264	8	1	wood_object_007_new	10	957	0.0	13	2
272	8	1	stone_moderate_045_new	8	745	0.0	13	2
280	8	1	glass_object_005_new	3	255	0.0	13	2
288	8	1	paper_object_013_new	6	563	0.0	13	2
296	8	1	plastic_object_021_new	7	671	0.0	13	2
304	8	1	glass_object_030_new	3	280	0.0	13	2
312	8	1	glass_moderate_018_new	3	218	0.0	13	2
320	8	2	glass_moderate_018_new	3	218	322.0360624549794	13	2
328	8	1	water_moderate_010_new	9	810	0.0	13	2
336	8	1	fabric_moderate_025_new	1	25	0.0	13	2
344	8	1	plastic_object_046_new	7	696	0.0	13	2
352	8	1	leather_moderate_023_new	4	323	0.0	13	2
360	8	1	water_moderate_008_new	9	808	0.0	13	2
368	8	1	paper_object_002_new	6	552	0.0	13	2
376	8	1	metal_moderate_012_new	5	412	0.0	13	2
384	8	1	leather_moderate_030_new	4	330	0.0	13	2
392	8	1	metal_moderate_026_new	5	426	0.0	13	2
400	8	1	foliage_final_065_new	2	165	0.0	13	2
408	8	1	glass_object_046_new	3	296	0.0	13	2
416	8	1	stone_moderate_035_new	8	735	0.0	13	2
424	8	1	metal_object_050_new	5	500	0.0	13	2
432	8	1	stone_moderate_022_new	8	722	0.0	13	2
440	8	1	leather_object_033_new	4	383	0.0	13	2
448	8	1	foliage_final_073_new	2	173	0.0	13	2
456	8	1	stone_moderate_006_new	8	706	0.0	13	2
464	8	1	wood_object_005_new	10	955	0.0	13	2
472	6	-2	n/a	n/a	n/a	0.0	13	2
