onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	17	2
32	8	1	plastic_moderate_048_new	7	648	0.0	17	2
40	8	1	water_moderate_037_new	9	837	0.0	17	2
48	8	2	water_moderate_037_new	9	837	52.15130893699825	17	2
56	8	1	leather_moderate_019_new	4	319	0.0	17	2
64	8	1	plastic_moderate_011_new	7	611	0.0	17	2
72	8	1	metal_moderate_004_new	5	404	0.0	17	2
80	8	1	paper_object_047_new	6	597	0.0	17	2
88	8	2	paper_object_047_new	6	597	92.4347900490393	17	2
96	8	1	paper_moderate_014_new	6	514	0.0	17	2
104	8	1	stone_moderate_032_new	8	732	0.0	17	2
112	8	1	leather_object_041_new	4	391	0.0	17	2
120	8	1	glass_object_020_new	3	270	0.0	17	2
128	8	1	glass_object_014_new	3	264	0.0	17	2
136	8	1	foliage_final_026_new	2	126	0.0	17	2
144	8	1	leather_object_012_new	4	362	0.0	17	2
152	8	1	plastic_object_018_new	7	668	0.0	17	2
160	8	1	glass_moderate_006_new	3	206	0.0	17	2
168	8	1	plastic_object_028_new	7	678	0.0	17	2
176	8	2	plastic_object_028_new	7	678	179.04116156703094	17	2
184	8	1	glass_object_010_new	3	260	0.0	17	2
192	8	1	wood_moderate_033_new	10	933	0.0	17	2
200	8	1	foliage_final_043_new	2	143	0.0	17	2
208	8	1	leather_moderate_015_new	4	315	0.0	17	2
216	8	1	metal_moderate_009_new	5	409	0.0	17	2
224	8	1	wood_object_029_new	10	979	0.0	17	2
232	8	1	water_moderate_032_new	9	832	0.0	17	2
240	8	1	leather_moderate_048_new	4	348	0.0	17	2
248	8	1	wood_moderate_004_new	10	904	0.0	17	2
256	8	1	metal_moderate_027_new	5	427	0.0	17	2
264	8	1	foliage_final_032_new	2	132	0.0	17	2
272	8	1	wood_moderate_002_new	10	902	0.0	17	2
280	8	1	fabric_moderate_012_new	1	12	0.0	17	2
288	8	1	water_object_004_new	9	854	0.0	17	2
296	8	1	stone_moderate_041_new	8	741	0.0	17	2
304	8	1	paper_moderate_045_new	6	545	0.0	17	2
312	8	2	paper_moderate_045_new	6	545	313.0286737389979	17	2
320	8	1	water_object_030_new	9	880	0.0	17	2
328	8	1	plastic_moderate_027_new	7	627	0.0	17	2
336	8	1	stone_moderate_002_new	8	702	0.0	17	2
344	8	1	glass_object_027_new	3	277	0.0	17	2
352	8	1	fabric_moderate_021_new	1	21	0.0	17	2
360	8	1	metal_object_018_new	5	468	0.0	17	2
368	8	1	fabric_moderate_046_new	1	46	0.0	17	2
376	8	1	paper_moderate_015_new	6	515	0.0	17	2
384	8	1	fabric_object_009_new	1	59	0.0	17	2
392	8	1	metal_object_047_new	5	497	0.0	17	2
400	8	1	fabric_object_049_new	1	99	0.0	17	2
408	8	1	water_object_031_new	9	881	0.0	17	2
416	8	1	wood_moderate_023_new	10	923	0.0	17	2
424	8	1	foliage_final_001_new	2	101	0.0	17	2
432	8	1	stone_object_047_new	8	797	0.0	17	2
440	8	2	stone_object_047_new	8	797	441.4993412090116	17	2
448	8	1	foliage_final_037_new	2	137	0.0	17	2
456	8	1	stone_moderate_034_new	8	734	0.0	17	2
464	8	1	paper_moderate_005_new	6	505	0.0	17	2
472	6	-2	n/a	n/a	n/a	0.0	17	2
