onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	12
32	8	1	n03425413_18382	1	25	0.0	12
40	8	2	n03425413_18382	1	25	41.6318145210098	12
48	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	12
56	8	1	n04587559_13463	1	37	0.0	12
64	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	12
72	8	1	n03950228_27533	1	31	0.0	12
80	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	59	0.0	12
88	8	1	n03472535_4645	1	27	0.0	12
96	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	12
104	8	2	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	105.63052993101883	12
112	8	1	n03455488_28622	1	26	0.0	12
120	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	53	0.0	12
128	8	1	n02882301_14188	1	19	0.0	12
136	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	12
144	8	1	n02799175_11275	1	15	0.0	12
152	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	12
160	8	1	n01621127_19020	1	1	0.0	12
168	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	49	0.0	12
176	8	1	n04297750_25624	1	36	0.0	12
184	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	61	0.0	12
192	8	1	n03063599_4177	1	23	0.0	12
200	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	12
208	8	1	n01855672_15767	1	2	0.0	12
216	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	12
224	8	1	n01943899_24131	1	4	0.0	12
232	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	12
240	8	1	n02843158_4722	1	18	0.0	12
248	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	12
256	8	1	n03335030_10544	1	24	0.0	12
264	8	2	n03335030_10544	1	24	265.6274587770167	12
272	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	12
280	8	1	n02766534_15976	1	13	0.0	12
288	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	12
296	8	1	n02374451_17284	1	9	0.0	12
304	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	12
312	8	1	n02882647_18337	1	20	0.0	12
320	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	12
328	8	1	n02391049_2286	1	10	0.0	12
336	8	2	n02391049_2286	1	10	337.626121163019	12
344	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	12
352	8	1	n02472293_34273	1	12	0.0	12
360	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	12
368	6	-2	n/a	n/a	n/a	0.0	12
