onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	8	2
32	8	1	n04273569_16391	118	940	0.0	8	2
40	8	1	n02800213_11791	40	313	0.0	8	2
48	8	1	n03743279_8976	88	704	0.0	8	2
56	8	1	n12596148_5651	145	1156	0.0	8	2
64	8	1	n03425413_21553	66	527	0.0	8	2
72	8	1	n02766534_34864	37	295	0.0	8	2
80	8	2	n02766534_34864	37	295	81.24358439499974	8	2
88	8	1	n03494278_27938	72	570	0.0	8	2
96	8	1	n03607659_7355	79	630	0.0	8	2
104	8	1	n02165456_1732	150	1197	0.0	8	2
112	8	1	n02226429_17436	22	175	0.0	8	2
120	8	1	n02374451_18010	26	206	0.0	8	2
128	8	1	n04225987_6162	113	900	0.0	8	2
136	8	1	n02432983_16049	28	218	0.0	8	2
144	8	1	n02974003_6740	49	389	0.0	8	2
152	8	1	n02882647_23990	46	366	0.0	8	2
160	8	1	n04009552_15796	101	803	0.0	8	2
168	8	1	n04373894_43971	122	974	0.0	8	2
176	8	1	n03918737_22699	97	773	0.0	8	2
184	8	1	n03512147_23	74	586	0.0	8	2
192	8	1	n02480855_13432	32	250	0.0	8	2
200	8	1	n02055803_7877	17	133	0.0	8	2
208	8	1	n04409806_8542	127	1015	0.0	8	2
216	8	1	n02054036_12238	16	121	0.0	8	2
224	8	1	n04419073_14805	129	1028	0.0	8	2
232	8	2	n04419073_14805	129	1028	233.02524274500047	8	2
240	8	1	n03436182_11486	67	529	0.0	8	2
248	8	1	n04086273_10362	104	825	0.0	8	2
256	8	1	n03541923_3237	75	596	0.0	8	2
264	8	1	n02799175_11275	39	305	0.0	8	2
272	8	1	n04442441_1910	131	1041	0.0	8	2
280	8	1	n01944390_20670	12	94	0.0	8	2
288	8	1	n01704323_10239	5	34	0.0	8	2
296	8	1	n02391049_4569	27	213	0.0	8	2
304	8	1	n04412416_8901	128	1024	0.0	8	2
312	8	1	n04180888_4820	111	886	0.0	8	2
320	8	1	n04272054_61432	117	936	0.0	8	2
328	8	2	n04272054_61432	117	936	329.0234092240007	8	2
336	8	1	n03085013_24313	54	431	0.0	8	2
344	8	1	n02885462_17642	47	372	0.0	8	2
352	8	1	n03359137_41860	62	495	0.0	8	2
360	8	1	n03609235_4455	80	637	0.0	8	2
368	8	2	n03609235_4455	80	637	370.02261370999986	8	2
376	8	1	n03746005_9272	89	712	0.0	8	2
384	8	1	n03544143_7095	77	615	0.0	8	2
392	8	2	n03544143_7095	77	615	394.28902540200033	8	2
400	8	1	n03837869_9127	95	760	0.0	8	2
408	8	1	n04070727_23757	103	821	0.0	8	2
416	8	1	n01910747_983	149	1192	0.0	8	2
424	8	1	n04313503_25193	120	960	0.0	8	2
432	8	1	n03642806_18985	83	660	0.0	8	2
440	8	1	n02445715_834	30	240	0.0	8	2
448	8	1	n04482393_6359	133	1064	0.0	8	2
456	8	1	n04123740_13353	107	851	0.0	8	2
464	8	1	n03483823_6872	71	565	0.0	8	2
472	6	-2	n/a	n/a	n/a	0.0	8	2
