onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	19	1
32	8	1	metal_moderate_018_new	5	418	0.0	19	1
40	8	1	metal_object_048_new	5	498	0.0	19	1
48	8	2	metal_object_048_new	5	498	49.101963547000196	19	1
56	8	1	water_object_011_new	9	861	0.0	19	1
64	8	1	foliage_final_091_new	2	191	0.0	19	1
72	8	1	fabric_object_010_new	1	60	0.0	19	1
80	8	1	plastic_moderate_034_new	7	634	0.0	19	1
88	8	1	stone_moderate_033_new	8	733	0.0	19	1
96	8	1	stone_object_006_new	8	756	0.0	19	1
104	8	1	foliage_final_077_new	2	177	0.0	19	1
112	8	1	water_moderate_020_new	9	820	0.0	19	1
120	8	1	stone_object_041_new	8	791	0.0	19	1
128	8	1	foliage_final_019_new	2	119	0.0	19	1
136	8	1	foliage_final_009_new	2	109	0.0	19	1
144	8	1	leather_moderate_039_new	4	339	0.0	19	1
152	8	1	wood_moderate_040_new	10	940	0.0	19	1
160	8	1	stone_object_036_new	8	786	0.0	19	1
168	8	2	stone_object_036_new	8	786	169.11985603699577	19	1
176	8	1	leather_moderate_031_new	4	331	0.0	19	1
184	8	1	paper_moderate_019_new	6	519	0.0	19	1
192	8	1	plastic_object_020_new	7	670	0.0	19	1
200	8	1	plastic_moderate_009_new	7	609	0.0	19	1
208	8	1	leather_moderate_034_new	4	334	0.0	19	1
216	8	1	water_object_034_new	9	884	0.0	19	1
224	8	1	fabric_object_008_new	1	58	0.0	19	1
232	8	1	water_moderate_003_new	9	803	0.0	19	1
240	8	1	plastic_object_029_new	7	679	0.0	19	1
248	8	1	metal_object_012_new	5	462	0.0	19	1
256	8	1	wood_moderate_042_new	10	942	0.0	19	1
264	8	1	wood_object_013_new	10	963	0.0	19	1
272	8	1	paper_moderate_024_new	6	524	0.0	19	1
280	8	1	stone_moderate_018_new	8	718	0.0	19	1
288	8	1	paper_object_011_new	6	561	0.0	19	1
296	8	2	paper_object_011_new	6	561	297.21503047598526	19	1
304	8	1	wood_object_036_new	10	986	0.0	19	1
312	8	1	metal_object_049_new	5	499	0.0	19	1
320	8	1	water_moderate_045_new	9	845	0.0	19	1
328	8	1	glass_moderate_036_new	3	236	0.0	19	1
336	8	2	glass_moderate_036_new	3	236	338.052095335006	19	1
344	8	1	foliage_final_042_new	2	142	0.0	19	1
352	8	1	fabric_moderate_009_new	1	9	0.0	19	1
360	8	1	plastic_object_009_new	7	659	0.0	19	1
368	8	1	fabric_moderate_020_new	1	20	0.0	19	1
376	8	1	paper_moderate_034_new	6	534	0.0	19	1
384	8	2	paper_moderate_034_new	6	534	385.0535203559848	19	1
392	8	1	glass_moderate_048_new	3	248	0.0	19	1
400	8	1	fabric_object_044_new	1	94	0.0	19	1
408	8	1	metal_moderate_025_new	5	425	0.0	19	1
416	8	1	leather_moderate_047_new	4	347	0.0	19	1
424	8	1	glass_moderate_027_new	3	227	0.0	19	1
432	8	1	paper_object_035_new	6	585	0.0	19	1
440	8	1	leather_object_047_new	4	397	0.0	19	1
448	8	1	wood_object_033_new	10	983	0.0	19	1
456	8	1	glass_object_009_new	3	259	0.0	19	1
464	8	1	glass_object_008_new	3	258	0.0	19	1
472	6	-2	n/a	n/a	n/a	0.0	19	1
