onset	duration	trial_type	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	0.000000
32	8	1	stone_moderate_011_new	8	711	0.000000
40	8	1	leather_moderate_035_new	4	335	0.000000
48	8	1	stone_object_032_new	8	782	0.000000
56	8	1	stone_object_016_new	8	766	0.000000
64	8	1	paper_object_039_new	6	589	0.000000
72	8	1	paper_object_017_new	6	567	0.000000
80	8	1	water_moderate_013_new	9	813	0.000000
88	8	1	paper_moderate_049_new	6	549	0.000000
96	8	1	plastic_object_016_new	7	666	0.000000
104	8	1	glass_moderate_034_new	3	234	0.000000
112	8	1	foliage_final_027_new	2	127	0.000000
120	8	1	stone_moderate_017_new	8	717	0.000000
128	8	1	foliage_final_062_new	2	162	0.000000
136	8	1	fabric_object_049_new	1	99	0.000000
144	8	1	glass_object_034_new	3	284	0.000000
152	8	1	paper_object_041_new	6	591	0.000000
160	8	2	paper_object_041_new	6	591	0.000000
168	8	1	leather_object_035_new	4	385	0.000000
176	8	2	leather_object_035_new	4	385	177.021774
184	8	1	fabric_object_007_new	1	57	0.000000
192	8	1	leather_moderate_030_new	4	330	0.000000
200	8	2	leather_moderate_030_new	4	330	201.021301
208	8	1	wood_moderate_013_new	10	913	0.000000
216	8	1	water_moderate_016_new	9	816	0.000000
224	8	1	plastic_moderate_009_new	7	609	0.000000
232	8	1	fabric_moderate_026_new	1	26	0.000000
240	8	1	wood_moderate_021_new	10	921	0.000000
248	8	1	plastic_moderate_018_new	7	618	0.000000
256	8	1	fabric_object_037_new	1	87	0.000000
264	8	1	wood_object_042_new	10	992	0.000000
272	8	1	plastic_moderate_047_new	7	647	0.000000
280	8	1	glass_moderate_004_new	3	204	0.000000
288	8	1	metal_moderate_023_new	5	423	0.000000
296	8	1	metal_object_047_new	5	497	0.000000
304	8	1	stone_object_026_new	8	776	0.000000
312	8	1	leather_moderate_015_new	4	315	0.000000
320	8	1	water_moderate_005_new	9	805	0.000000
328	8	1	glass_moderate_046_new	3	246	0.000000
336	8	1	glass_object_028_new	3	278	0.000000
344	8	1	wood_object_027_new	10	977	0.000000
352	8	1	paper_object_024_new	6	574	0.000000
360	8	1	water_object_034_new	9	884	0.000000
368	8	2	water_object_034_new	9	884	0.000000
376	8	1	foliage_final_003_new	2	103	0.000000
384	8	1	fabric_object_023_new	1	73	0.000000
392	8	1	leather_object_043_new	4	393	0.000000
400	8	1	metal_moderate_043_new	5	443	0.000000
408	8	1	metal_moderate_036_new	5	436	0.000000
416	8	2	metal_moderate_036_new	5	436	417.033749
424	8	1	wood_object_031_new	10	981	0.000000
432	8	1	foliage_final_034_new	2	134	0.000000
440	8	1	plastic_moderate_050_new	7	650	0.000000
448	8	1	foliage_final_075_new	2	175	0.000000
456	8	1	water_object_013_new	9	863	0.000000
464	8	1	metal_moderate_012_new	5	412	0.000000
472	6	-2	n/a	n/a	n/a	0.000000
