onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	fabric_object_003_new	1	53	0.0	1	0
40	8	1	foliage_final_063_new	2	163	0.0	1	0
48	8	1	plastic_moderate_029_new	7	629	0.0	1	0
56	8	1	plastic_moderate_016_new	7	616	0.0	1	0
64	8	1	water_object_036_new	9	886	0.0	1	0
72	8	1	paper_moderate_002_new	6	502	0.0	1	0
80	8	1	leather_moderate_033_new	4	333	0.0	1	0
88	8	1	fabric_object_024_new	1	74	0.0	1	0
96	8	1	plastic_object_049_new	7	699	0.0	1	0
104	8	1	stone_moderate_033_new	8	733	0.0	1	0
112	8	1	glass_object_020_new	3	270	0.0	1	0
120	8	1	fabric_object_046_new	1	96	0.0	1	0
128	8	1	stone_moderate_036_new	8	736	0.0	1	0
136	8	1	stone_object_030_new	8	780	0.0	1	0
144	8	2	stone_object_030_new	8	780	145.0223097889684	1	0
152	8	1	foliage_final_027_new	2	127	0.0	1	0
160	8	1	stone_object_026_new	8	776	0.0	1	0
168	8	1	glass_moderate_014_new	3	214	0.0	1	0
176	8	1	leather_moderate_027_new	4	327	0.0	1	0
184	8	1	water_object_030_new	9	880	0.0	1	0
192	8	1	paper_object_044_new	6	594	0.0	1	0
200	8	1	foliage_final_041_new	2	141	0.0	1	0
208	8	1	water_moderate_036_new	9	836	0.0	1	0
216	8	2	water_moderate_036_new	9	836	217.03601707983762	1	0
224	8	1	wood_object_001_new	10	951	0.0	1	0
232	8	2	wood_object_001_new	10	951	233.03558284183964	1	0
240	8	1	water_moderate_024_new	9	824	0.0	1	0
248	8	1	plastic_object_027_new	7	677	0.0	1	0
256	8	1	wood_object_012_new	10	962	0.0	1	0
264	8	1	paper_object_046_new	6	596	0.0	1	0
272	8	1	stone_moderate_030_new	8	730	0.0	1	0
280	8	1	wood_object_009_new	10	959	0.0	1	0
288	8	1	fabric_moderate_003_new	1	3	0.0	1	0
296	8	1	metal_moderate_033_new	5	433	0.0	1	0
304	8	1	water_moderate_001_new	9	801	0.0	1	0
312	8	1	leather_moderate_041_new	4	341	0.0	1	0
320	8	1	leather_moderate_016_new	4	316	0.0	1	0
328	8	1	glass_moderate_043_new	3	243	0.0	1	0
336	8	1	wood_moderate_036_new	10	936	0.0	1	0
344	8	1	paper_object_010_new	6	560	0.0	1	0
352	8	1	glass_moderate_017_new	3	217	0.0	1	0
360	8	1	metal_object_006_new	5	456	0.0	1	0
368	8	1	metal_object_043_new	5	493	0.0	1	0
376	8	1	metal_moderate_003_new	5	403	0.0	1	0
384	8	1	fabric_object_049_new	1	99	0.0	1	0
392	8	1	metal_object_042_new	5	492	0.0	1	0
400	8	1	foliage_final_095_new	2	195	0.0	1	0
408	8	2	foliage_final_095_new	2	195	409.0267566838302	1	0
416	8	1	foliage_final_078_new	2	178	0.0	1	0
424	8	1	plastic_object_004_new	7	654	0.0	1	0
432	8	1	glass_moderate_019_new	3	219	0.0	1	0
440	8	1	leather_object_002_new	4	352	0.0	1	0
448	8	1	wood_moderate_028_new	10	928	0.0	1	0
456	8	1	paper_object_049_new	6	599	0.0	1	0
464	8	2	paper_object_049_new	6	599	465.02245389064774	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
