onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	32
32	8	1	n02841315_35046	1	17	0.0	32
40	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	32
48	8	2	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	49.624480130005395	32
56	8	1	n04070727_16664	1	32	0.0	32
64	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	32
72	8	1	n02439033_9911	1	11	0.0	32
80	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	32
88	8	1	n02802215_26105	1	16	0.0	32
96	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	32
104	8	1	n04297750_25624	1	36	0.0	32
112	8	2	n04297750_25624	1	36	113.6232533250004	32
120	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	32
128	8	1	n02882647_18337	1	20	0.0	32
136	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	32
144	8	1	n03483823_8150	1	29	0.0	32
152	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	32
160	8	1	n01943899_24131	1	4	0.0	32
168	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	0.0	32
176	8	2	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	70	176.77039261098253	32
184	8	1	n02843158_4722	1	18	0.0	32
192	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	32
200	8	1	n02951358_23759	1	21	206.42145490300027	32
208	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	32
216	8	1	n04252077_10859	1	35	0.0	32
224	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	51	0.0	32
232	8	1	n02005790_9371	1	6	0.0	32
240	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	54	0.0	32
248	8	1	n02391049_2286	1	10	0.0	32
256	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	60	0.0	32
264	8	1	n02374451_17284	1	9	0.0	32
272	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	32
280	8	2	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	281.6366480040015	32
288	8	1	n02797295_15411	1	14	0.0	32
296	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	0.0	32
304	8	1	n04587559_13463	1	37	0.0	32
312	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	32
320	8	1	n04210120_9062	1	33	0.0	32
328	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	32
336	8	1	n03335030_10544	1	24	0.0	32
344	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	32
352	8	1	n01858441_11077	1	3	0.0	32
360	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	32
368	6	-2	n/a	n/a	n/a	0.0	32
