onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number	repetition
0	32	-1	n/a	n/a	n/a	0.0	18	1
32	8	1	COCO_val2014_000000294162	1	519	0.0	18	1
40	8	1	COCO_val2014_000000048308	1	89	0.0	18	1
48	8	1	COCO_val2014_000000220025	1	394	0.0	18	1
56	8	1	COCO_val2014_000000182483	1	318	0.0	18	1
64	8	1	COCO_val2014_000000381639	1	661	0.0	18	1
72	8	1	COCO_val2014_000000306467	1	544	0.0	18	1
80	8	1	COCO_val2014_000000567683	1	965	0.0	18	1
88	8	1	COCO_val2014_000000394474	1	678	0.0	18	1
96	8	2	COCO_val2014_000000394474	1	678	97.19296713202493	18	1
104	8	1	COCO_val2014_000000532693	1	895	0.0	18	1
112	8	1	COCO_val2014_000000031606	1	54	0.0	18	1
120	8	1	COCO_val2014_000000161470	1	275	0.0	18	1
128	8	1	COCO_val2014_000000209664	1	373	0.0	18	1
136	8	1	COCO_val2014_000000541991	1	916	0.0	18	1
144	8	1	COCO_val2014_000000276720	1	486	0.0	18	1
152	8	1	COCO_val2014_000000218988	1	390	0.0	18	1
160	8	1	COCO_val2014_000000421834	1	727	0.0	18	1
168	8	1	COCO_val2014_000000467821	1	799	0.0	18	1
176	8	1	COCO_val2014_000000504733	1	848	0.0	18	1
184	8	1	COCO_val2014_000000575403	1	982	0.0	18	1
192	8	1	COCO_val2014_000000312416	1	552	0.0	18	1
200	8	1	COCO_val2014_000000138589	1	241	0.0	18	1
208	8	1	COCO_val2014_000000192838	1	340	0.0	18	1
216	8	1	COCO_val2014_000000258998	1	451	0.0	18	1
224	8	1	COCO_val2014_000000107084	1	187	0.0	18	1
232	8	2	COCO_val2014_000000107084	1	187	233.25117556197802	18	1
240	8	1	COCO_val2014_000000188109	1	329	0.0	18	1
248	8	1	COCO_val2014_000000084767	1	141	0.0	18	1
256	8	1	COCO_val2014_000000306415	1	543	0.0	18	1
264	8	1	COCO_val2014_000000070201	1	121	0.0	18	1
272	8	1	COCO_val2014_000000249534	1	434	0.0	18	1
280	8	1	COCO_val2014_000000177934	1	310	0.0	18	1
288	8	1	COCO_val2014_000000129903	1	224	0.0	18	1
296	8	1	COCO_val2014_000000181714	1	315	0.0	18	1
304	8	1	COCO_val2014_000000170211	1	290	0.0	18	1
312	8	1	COCO_val2014_000000184402	1	320	0.0	18	1
320	8	1	COCO_val2014_000000400916	1	691	0.0	18	1
328	8	1	COCO_val2014_000000160195	1	273	0.0	18	1
336	8	2	COCO_val2014_000000160195	1	273	337.0490089210216	18	1
344	8	1	COCO_val2014_000000216581	1	383	0.0	18	1
352	8	1	COCO_val2014_000000529806	1	886	0.0	18	1
360	8	2	COCO_val2014_000000529806	1	886	361.0408543290105	18	1
368	8	1	COCO_val2014_000000135785	1	234	0.0	18	1
376	8	2	COCO_val2014_000000135785	1	234	377.0347289100173	18	1
384	8	1	COCO_val2014_000000545000	1	921	0.0	18	1
392	8	1	COCO_val2014_000000030967	1	53	0.0	18	1
400	8	1	COCO_val2014_000000516396	1	863	0.0	18	1
408	8	1	COCO_val2014_000000113052	1	198	0.0	18	1
416	8	1	COCO_val2014_000000525927	1	878	0.0	18	1
424	8	1	COCO_val2014_000000543706	1	919	0.0	18	1
432	8	1	COCO_val2014_000000176278	1	305	0.0	18	1
440	8	1	COCO_val2014_000000472088	1	808	0.0	18	1
448	8	1	COCO_val2014_000000580693	1	997	0.0	18	1
456	8	1	COCO_val2014_000000448923	1	762	0.0	18	1
464	8	1	COCO_val2014_000000475893	1	812	0.0	18	1
472	6	-2	n/a	n/a	n/a	0.0	18	1
