onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	3
32	8	1	n02843158_4722	1	18	0.0	3
40	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	0.0	3
48	8	2	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	42	49.63114645400128	3
56	8	1	n02439033_9911	1	11	0.0	3
64	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	3
72	8	1	n02391049_2286	1	10	0.0	3
80	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	3
88	8	1	origImg_181	1	38	0.0	3
96	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	46	0.0	3
104	8	1	n03950228_27533	1	31	0.0	3
112	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	3
120	8	1	n02799175_11275	1	15	0.0	3
128	8	2	n02799175_11275	1	15	129.99065135300043	3
136	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	3
144	8	1	n04233124_14971	1	34	0.0	3
152	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	3
160	8	1	n02882647_18337	1	20	0.0	3
168	8	2	n02882647_18337	1	20	174.44113364700024	3
176	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	59	0.0	3
184	8	1	n03335030_10544	1	24	0.0	3
192	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	54	0.0	3
200	8	1	n04070727_16664	1	32	0.0	3
208	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	3
216	8	1	n03455488_28622	1	26	0.0	3
224	8	2	n03455488_28622	1	26	225.6413369180009	3
232	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	3
240	8	1	n01944390_20670	1	5	0.0	3
248	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	3
256	8	1	n02974003_9408	1	22	0.0	3
264	8	1	fillingin011_large_cross_lumi0p3_sat0p7_disconnected	2	69	0.0	3
272	8	1	n02882301_14188	1	19	0.0	3
280	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	3
288	8	1	n02346627_13993	1	8	0.0	3
296	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	53	0.0	3
304	8	1	n03743279_13788	1	30	0.0	3
312	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	3
320	8	1	n02841315_35046	1	17	0.0	3
328	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	3
336	8	1	n03063599_4177	1	23	0.0	3
344	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	47	0.0	3
352	8	1	n02472293_34273	1	12	0.0	3
360	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	3
368	6	-2	n/a	n/a	n/a	0.0	3
