onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	39
32	8	1	n01621127_19020	1	1	0.0	39
40	8	2	n01621127_19020	1	1	41.64304356199864	39
48	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	39
56	8	1	n03455488_28622	1	26	0.0	39
64	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	62	0.0	39
72	8	1	n04233124_14971	1	34	0.0	39
80	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	0.0	39
88	8	1	n03335030_10544	1	24	0.0	39
96	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	39
104	8	1	n01943899_24131	1	4	0.0	39
112	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	39
120	8	1	n03425413_18382	1	25	0.0	39
128	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	39
136	8	1	n03483823_7612	1	28	0.0	39
144	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	65	0.0	39
152	8	1	n04587559_13463	1	37	0.0	39
160	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	40	0.0	39
168	8	1	n03483823_8150	1	29	0.0	39
176	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	39
184	8	1	n04297750_25624	1	36	0.0	39
192	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	59	0.0	39
200	8	1	n03472535_4645	1	27	0.0	39
208	8	1	fillingin011_large_cross_lumi0p3_sat0p7_disconnected	2	69	0.0	39
216	8	1	n02391049_2286	1	10	0.0	39
224	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	58	0.0	39
232	8	1	n01944390_20670	1	5	0.0	39
240	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	0.0	39
248	8	2	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	48	253.1829362619901	39
256	8	1	n02882301_14188	1	19	0.0	39
264	8	2	n02882301_14188	1	19	265.6380037039926	39
272	8	1	neonVarinImg004_Disk_alpha_0p7_sat_0p3_bgray	2	74	0.0	39
280	8	1	n03063599_4177	1	23	0.0	39
288	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	44	0.0	39
296	8	1	n02005790_9371	1	6	0.0	39
304	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	39
312	8	1	n02841315_35046	1	17	0.0	39
320	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	39
328	8	1	n02374451_17284	1	9	0.0	39
336	8	1	abuttingLine019_linespace_6_angle_090_hline	2	57	0.0	39
344	8	1	n01855672_15767	1	2	0.0	39
352	8	2	n01855672_15767	1	2	353.6431431099918	39
360	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	39
368	6	-2	n/a	n/a	n/a	0.0	39
