onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	37
32	8	1	n02802215_26105	1	16	0.0	37
40	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	66	0.0	37
48	8	1	n04210120_9062	1	33	0.0	37
56	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	53	0.0	37
64	8	1	n02766534_15976	1	13	0.0	37
72	8	1	neonVarinImg005_realSurf_alpha_0p7_sat_0p3_bgray	2	75	0.0	37
80	8	1	n04587559_13463	1	37	0.0	37
88	8	1	neonVarinImg003_Kanizsa_alpha_0p7_sat_0p3_bgray	2	73	0.0	37
96	8	1	n02346627_13993	1	8	0.0	37
104	8	2	n02346627_13993	1	8	105.62357393998536	37
112	8	1	neonVarinImg006_realRect_alpha_0p7_sat_0p3_bgray	2	76	0.0	37
120	8	1	n02068974_4884	1	7	0.0	37
128	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	43	0.0	37
136	8	1	n03455488_28622	1	26	0.0	37
144	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	41	0.0	37
152	8	1	n02951358_23759	1	21	0.0	37
160	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	68	0.0	37
168	8	1	n01621127_19020	1	1	0.0	37
176	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	0.0	37
184	8	2	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	63	184.78730060099042	37
192	8	1	origImg_181	1	38	0.0	37
200	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	52	0.0	37
208	8	1	n01943899_24131	1	4	0.0	37
216	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	64	0.0	37
224	8	1	n02797295_15411	1	14	0.0	37
232	8	2	n02797295_15411	1	14	233.63743870600592	37
240	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	50	0.0	37
248	8	1	n02374451_17284	1	9	0.0	37
256	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	0.0	37
264	8	2	abuttingLine001_linespace_1p2_angle_000_045diag	2	39	265.63711762198363	37
272	8	1	n02391049_2286	1	10	0.0	37
280	8	1	neonVarinImg002_innerKanizsa_alpha_0p7_sat_0p3_bgray	2	72	0.0	37
288	8	1	n03950228_27533	1	31	0.0	37
296	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	56	0.0	37
304	8	1	n03743279_13788	1	30	0.0	37
312	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	67	0.0	37
320	8	1	n01855672_15767	1	2	0.0	37
328	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	45	0.0	37
336	8	1	n02439033_9911	1	11	0.0	37
344	8	1	abuttingLine017_linespace_6_angle_000_vline	2	55	0.0	37
352	8	1	n02974003_9408	1	22	0.0	37
360	8	1	neonVarinImg001_IllusSurf_alpha_0p7_sat_0p3_bgray	2	71	0.0	37
368	6	-2	n/a	n/a	n/a	0.0	37
