onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	36
32	8	1	n03483823_7612	1	23	0.0	36
40	8	1	abuttingLine019_linespace_6_angle_090_hline	2	51	0.0	36
48	8	1	n01855672_15767	1	2	0.0	36
56	8	1	abuttingLine001_linespace_1p2_angle_000_045diag	2	33	0.0	36
64	8	1	n01943899_24131	1	4	0.0	36
72	8	1	fillingin011_large_cross_lumi0p3_sat0p7_disconnected	2	63	0.0	36
80	8	1	n01621127_19020	1	1	0.0	36
88	8	1	abuttingLine005_linespace_1p2_angle_000_vline	2	37	0.0	36
96	8	1	n04233124_14971	1	28	0.0	36
104	8	1	fillingin003_small_unionjack_lumi0p3_sat0p8_uniform	2	55	0.0	36
112	8	1	n02841315_35046	1	15	0.0	36
120	8	1	abuttingLine004_linespace_1p2_angle_000_135diag_pos	2	36	0.0	36
128	8	1	n02797295_15411	1	12	0.0	36
136	8	1	fillingin008_small_cross_lumi0p3_sat0p7_disconnected	2	60	0.0	36
144	8	1	n04070727_16664	1	26	0.0	36
152	8	2	n04070727_16664	1	26	153.62286722799763	36
160	8	1	abuttingLine012_linespace_1p2_angle_090_hline_pos	2	44	0.0	36
168	8	1	n04587559_13463	1	31	0.0	36
176	8	1	abuttingLine018_linespace_6_angle_000_vline_pos	2	50	0.0	36
184	8	1	n02882301_14188	1	16	0.0	36
192	8	2	n02882301_14188	1	16	193.6220993970055	36
200	8	1	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	53	0.0	36
208	8	2	fillingin001_small_unionjack_lumi0p3_sat0p8_connected	2	53	209.62169660200016	36
216	8	1	n03425413_18382	1	21	0.0	36
224	8	1	abuttingLine016_linespace_2p4_angle_090_hline_pos	2	48	0.0	36
232	8	1	n02346627_13993	1	7	0.0	36
240	8	1	abuttingLine002_linespace_1p2_angle_000_045diag_pos	2	34	0.0	36
248	8	1	n03335030_10544	1	20	0.0	36
256	8	1	abuttingLine003_linespace_1p2_angle_000_135diag	2	35	0.0	36
264	8	1	n03063599_4177	1	19	0.0	36
272	8	1	abuttingLine008_linespace_1p2_angle_090_045diag_pos	2	40	0.0	36
280	8	1	n04252077_10859	1	29	0.0	36
288	8	1	fillingin007_small_cross_lumi0p3_sat0p7_connected	2	59	0.0	36
296	8	1	n02439033_9911	1	9	0.0	36
304	8	1	fillingin006_large_unionjack_lumi0p3_sat0p8_uniform	2	58	0.0	36
312	6	-2	n/a	n/a	n/a	0.0	36
