onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	original_run_number
0	32	-1	n/a	n/a	n/a	0.0	35
32	8	1	n02951358_23759	1	18	0.0	35
40	8	1	abuttingLine007_linespace_1p2_angle_090_045diag	2	39	0.0	35
48	8	1	n04297750_25624	1	30	0.0	35
56	8	1	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	64	0.0	35
64	8	2	fillingin012_large_cross_lumi0p3_sat0p7_uniform	2	64	64.78308052298962	35
72	8	1	n02391049_2286	1	8	0.0	35
80	8	1	abuttingLine011_linespace_1p2_angle_090_hline	2	43	0.0	35
88	8	1	n03483823_8150	1	24	0.0	35
96	8	1	abuttingLine010_linespace_1p2_angle_090_135diag_pos	2	42	0.0	35
104	8	1	n02799175_11275	1	13	0.0	35
112	8	2	n02799175_11275	1	13	113.63325274598901	35
120	8	1	abuttingLine014_linespace_2p4_angle_000_vline_pos	2	46	0.0	35
128	8	1	n02802215_26105	1	14	0.0	35
136	8	1	abuttingLine020_linespace_6_angle_090_hline_pos	2	52	0.0	35
144	8	1	n03455488_28622	1	22	0.0	35
152	8	1	abuttingLine006_linespace_1p2_angle_000_vline_pos	2	38	0.0	35
160	8	1	n02882647_18337	1	17	0.0	35
168	8	1	fillingin010_large_cross_lumi0p3_sat0p7_connected	2	62	0.0	35
176	8	1	n03950228_27533	1	25	0.0	35
184	8	1	fillingin009_small_cross_lumi0p3_sat0p7_uniform	2	61	0.0	35
192	8	1	n02005790_9371	1	6	0.0	35
200	8	1	abuttingLine009_linespace_1p2_angle_090_135diag	2	41	0.0	35
208	8	1	n02472293_34273	1	10	0.0	35
216	8	1	abuttingLine013_linespace_2p4_angle_000_vline	2	45	0.0	35
224	8	1	n01944390_20670	1	5	0.0	35
232	8	1	fillingin002_small_unionjack_lumi0p3_sat0p8_disconnected	2	54	0.0	35
240	8	1	n04210120_9062	1	27	0.0	35
248	8	1	abuttingLine015_linespace_2p4_angle_090_hline	2	47	0.0	35
256	8	1	origImg_181	1	32	0.0	35
264	8	1	abuttingLine017_linespace_6_angle_000_vline	2	49	0.0	35
272	8	1	n01858441_11077	1	3	0.0	35
280	8	1	fillingin004_large_unionjack_lumi0p3_sat0p8_connected	2	56	0.0	35
288	8	1	n02766534_15976	1	11	0.0	35
296	8	2	n02766534_15976	1	11	297.62970800398034	35
304	8	1	fillingin005_large_unionjack_lumi0p3_sat0p8_disconnected	2	57	0.0	35
312	6	-2	n/a	n/a	n/a	0.0	35
