onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	wood_moderate_035_new	10	935	0.0	1	0
40	8	1	glass_object_003_new	3	253	0.0	1	0
48	8	1	plastic_moderate_011_new	7	611	0.0	1	0
56	8	1	plastic_object_018_new	7	668	0.0	1	0
64	8	1	plastic_moderate_035_new	7	635	0.0	1	0
72	8	1	paper_object_024_new	6	574	0.0	1	0
80	8	1	stone_object_047_new	8	797	0.0	1	0
88	8	2	stone_object_047_new	8	797	89.02273462805897	1	0
96	8	1	leather_object_013_new	4	363	0.0	1	0
104	8	1	leather_moderate_013_new	4	313	0.0	1	0
112	8	1	foliage_final_037_new	2	137	0.0	1	0
120	8	1	stone_object_027_new	8	777	0.0	1	0
128	8	1	wood_object_031_new	10	981	0.0	1	0
136	8	1	glass_moderate_039_new	3	239	0.0	1	0
144	8	2	glass_moderate_039_new	3	239	145.03516785334796	1	0
152	8	1	wood_moderate_024_new	10	924	0.0	1	0
160	8	1	stone_moderate_018_new	8	718	0.0	1	0
168	8	1	metal_object_048_new	5	498	0.0	1	0
176	8	1	glass_moderate_018_new	3	218	0.0	1	0
184	8	1	foliage_final_021_new	2	121	0.0	1	0
192	8	1	foliage_final_080_new	2	180	0.0	1	0
200	8	1	paper_object_033_new	6	583	0.0	1	0
208	8	1	paper_object_009_new	6	559	0.0	1	0
216	8	1	stone_object_045_new	8	795	0.0	1	0
224	8	1	foliage_final_035_new	2	135	0.0	1	0
232	8	1	water_object_047_new	9	897	0.0	1	0
240	8	1	fabric_moderate_031_new	1	31	0.0	1	0
248	8	1	wood_moderate_006_new	10	906	0.0	1	0
256	8	1	paper_moderate_036_new	6	536	0.0	1	0
264	8	1	plastic_object_032_new	7	682	0.0	1	0
272	8	1	leather_object_017_new	4	367	0.0	1	0
280	8	1	water_moderate_041_new	9	841	0.0	1	0
288	8	1	stone_object_048_new	8	798	0.0	1	0
296	8	1	fabric_moderate_039_new	1	39	0.0	1	0
304	8	2	fabric_moderate_039_new	1	39	305.02781185042113	1	0
312	8	1	leather_moderate_038_new	4	338	0.0	1	0
320	8	1	water_object_042_new	9	892	0.0	1	0
328	8	1	fabric_object_048_new	1	98	0.0	1	0
336	8	1	glass_moderate_008_new	3	208	0.0	1	0
344	8	1	water_moderate_048_new	9	848	0.0	1	0
352	8	1	paper_moderate_013_new	6	513	0.0	1	0
360	8	1	wood_moderate_044_new	10	944	0.0	1	0
368	8	1	metal_object_024_new	5	474	0.0	1	0
376	8	1	leather_moderate_005_new	4	305	0.0	1	0
384	8	2	leather_moderate_005_new	4	305	0.0	1	0
392	8	1	metal_object_021_new	5	471	0.0	1	0
400	8	1	water_moderate_004_new	9	804	0.0	1	0
408	8	1	fabric_object_008_new	1	58	0.0	1	0
416	8	1	glass_moderate_030_new	3	230	0.0	1	0
424	8	1	metal_moderate_050_new	5	450	0.0	1	0
432	8	1	foliage_final_064_new	2	164	0.0	1	0
440	8	1	plastic_moderate_041_new	7	641	0.0	1	0
448	8	1	metal_object_050_new	5	500	0.0	1	0
456	8	1	fabric_object_042_new	1	92	0.0	1	0
464	8	2	fabric_object_042_new	1	92	465.03638679208234	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
