onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	glass_object_032_new	3	282	0.0	1	0
40	8	2	glass_object_032_new	3	282	41.03427953901701	1	0
48	8	1	paper_object_009_new	6	559	0.0	1	0
56	8	1	foliage_final_004_new	2	104	0.0	1	0
64	8	1	plastic_object_020_new	7	670	0.0	1	0
72	8	1	fabric_object_005_new	1	55	0.0	1	0
80	8	1	stone_moderate_044_new	8	744	0.0	1	0
88	8	1	stone_object_015_new	8	765	0.0	1	0
96	8	2	stone_object_015_new	8	765	97.03181309998035	1	0
104	8	1	wood_object_014_new	10	964	0.0	1	0
112	8	1	wood_object_032_new	10	982	0.0	1	0
120	8	1	leather_object_022_new	4	372	0.0	1	0
128	8	1	metal_moderate_031_new	5	431	0.0	1	0
136	8	1	paper_moderate_011_new	6	511	0.0	1	0
144	8	1	wood_object_018_new	10	968	0.0	1	0
152	8	1	foliage_final_080_new	2	180	0.0	1	0
160	8	1	water_object_037_new	9	887	0.0	1	0
168	8	1	foliage_final_024_new	2	124	0.0	1	0
176	8	1	water_moderate_023_new	9	823	0.0	1	0
184	8	1	metal_moderate_001_new	5	401	0.0	1	0
192	8	1	stone_moderate_015_new	8	715	0.0	1	0
200	8	1	stone_object_023_new	8	773	0.0	1	0
208	8	1	fabric_object_018_new	1	68	0.0	1	0
216	8	1	glass_moderate_017_new	3	217	0.0	1	0
224	8	1	foliage_final_043_new	2	143	0.0	1	0
232	8	1	foliage_final_050_new	2	150	0.0	1	0
240	8	1	water_object_011_new	9	861	0.0	1	0
248	8	1	metal_moderate_033_new	5	433	0.0	1	0
256	8	1	glass_object_050_new	3	300	0.0	1	0
264	8	1	water_moderate_028_new	9	828	0.0	1	0
272	8	1	leather_object_047_new	4	397	0.0	1	0
280	8	1	plastic_moderate_008_new	7	608	0.0	1	0
288	8	1	paper_moderate_019_new	6	519	0.0	1	0
296	8	1	leather_object_007_new	4	357	0.0	1	0
304	8	1	glass_object_010_new	3	260	0.0	1	0
312	8	1	plastic_object_008_new	7	658	0.0	1	0
320	8	1	plastic_moderate_037_new	7	637	0.0	1	0
328	8	1	paper_object_007_new	6	557	0.0	1	0
336	8	1	water_object_020_new	9	870	0.0	1	0
344	8	2	water_object_020_new	9	870	345.0358115709387	1	0
352	8	1	paper_moderate_023_new	6	523	0.0	1	0
360	8	1	stone_object_010_new	8	760	0.0	1	0
368	8	1	fabric_object_011_new	1	61	0.0	1	0
376	8	1	leather_moderate_037_new	4	337	0.0	1	0
384	8	1	metal_moderate_032_new	5	432	0.0	1	0
392	8	1	fabric_moderate_030_new	1	30	0.0	1	0
400	8	1	metal_moderate_044_new	5	444	0.0	1	0
408	8	2	metal_moderate_044_new	5	444	409.1488444020506	1	0
416	8	1	wood_moderate_013_new	10	913	0.0	1	0
424	8	1	fabric_moderate_006_new	1	6	0.0	1	0
432	8	1	plastic_object_044_new	7	694	0.0	1	0
440	8	1	leather_object_024_new	4	374	0.0	1	0
448	8	1	glass_object_048_new	3	298	0.0	1	0
456	8	1	wood_object_035_new	10	985	0.0	1	0
464	8	2	wood_object_035_new	10	985	465.0295197230298	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
