onset	duration	trial_type	stimulus_name	category_index	image_index	response_time	train	test
0	32	-1	n/a	n/a	n/a	0.0	1	0
32	8	1	metal_object_016_new	5	466	0.0	1	0
40	8	1	fabric_moderate_031_new	1	31	0.0	1	0
48	8	2	fabric_moderate_031_new	1	31	49.037006883881986	1	0
56	8	1	paper_moderate_012_new	6	512	0.0	1	0
64	8	1	stone_object_012_new	8	762	0.0	1	0
72	8	1	fabric_moderate_005_new	1	5	0.0	1	0
80	8	1	foliage_final_096_new	2	196	0.0	1	0
88	8	1	paper_object_024_new	6	574	0.0	1	0
96	8	1	stone_object_030_new	8	780	0.0	1	0
104	8	1	wood_object_010_new	10	960	0.0	1	0
112	8	1	foliage_final_092_new	2	192	0.0	1	0
120	8	1	metal_object_028_new	5	478	0.0	1	0
128	8	1	fabric_object_038_new	1	88	0.0	1	0
136	8	1	foliage_final_084_new	2	184	0.0	1	0
144	8	1	metal_moderate_047_new	5	447	0.0	1	0
152	8	1	foliage_final_018_new	2	118	0.0	1	0
160	8	1	stone_object_036_new	8	786	0.0	1	0
168	8	2	stone_object_036_new	8	786	0.0	1	0
176	8	1	fabric_object_049_new	1	99	0.0	1	0
184	8	1	paper_object_045_new	6	595	0.0	1	0
192	8	1	wood_object_028_new	10	978	0.0	1	0
200	8	1	stone_moderate_007_new	8	707	0.0	1	0
208	8	1	foliage_final_005_new	2	105	0.0	1	0
216	8	2	foliage_final_005_new	2	105	217.02763346093707	1	0
224	8	1	water_object_029_new	9	879	0.0	1	0
232	8	1	wood_object_023_new	10	973	0.0	1	0
240	8	1	plastic_object_043_new	7	693	0.0	1	0
248	8	1	plastic_moderate_015_new	7	615	0.0	1	0
256	8	2	plastic_moderate_015_new	7	615	257.04311533481814	1	0
264	8	1	water_moderate_010_new	9	810	0.0	1	0
272	8	1	paper_moderate_018_new	6	518	0.0	1	0
280	8	1	leather_moderate_010_new	4	310	0.0	1	0
288	8	1	metal_moderate_003_new	5	403	0.0	1	0
296	8	1	leather_object_042_new	4	392	0.0	1	0
304	8	1	wood_object_033_new	10	983	0.0	1	0
312	8	1	paper_moderate_027_new	6	527	0.0	1	0
320	8	1	leather_moderate_018_new	4	318	0.0	1	0
328	8	2	leather_moderate_018_new	4	318	0.0	1	0
336	8	1	water_object_044_new	9	894	0.0	1	0
344	8	1	glass_moderate_049_new	3	249	0.0	1	0
352	8	1	plastic_moderate_002_new	7	602	0.0	1	0
360	8	1	leather_moderate_021_new	4	321	0.0	1	0
368	8	1	glass_moderate_014_new	3	214	0.0	1	0
376	8	1	wood_object_026_new	10	976	0.0	1	0
384	8	1	plastic_object_042_new	7	692	0.0	1	0
392	8	1	stone_moderate_036_new	8	736	0.0	1	0
400	8	1	water_object_025_new	9	875	0.0	1	0
408	8	1	glass_moderate_001_new	3	201	0.0	1	0
416	8	1	leather_object_029_new	4	379	0.0	1	0
424	8	1	fabric_object_050_new	1	100	0.0	1	0
432	8	1	water_moderate_034_new	9	834	0.0	1	0
440	8	1	metal_object_049_new	5	499	0.0	1	0
448	8	1	glass_moderate_003_new	3	203	0.0	1	0
456	8	1	plastic_moderate_043_new	7	643	0.0	1	0
464	8	1	glass_object_021_new	3	271	0.0	1	0
472	6	-2	n/a	n/a	n/a	0.0	1	0
